Student_Number,Course_Number,Section_Number,Dateenrolled,DateLeft,Term_Number,SchoolID,Section_ID_Internal
30169,B0901,103,,,3600,13000,B0901.3
30169,E0901,101,,,3600,13000,E0901.1
30169,G0901,107,,,3600,13000,G0901.7
30169,H0904,101,,,3600,13000,H0904.1
30169,I1003,101,,,3600,13000,I1003.1
30169,J0903,103,,,3600,13000,J0903.3
30169,OC1305,104,,,3600,13000,OC1305.4
30032,A0901,103,,,3600,13000,A0901.3
30032,ADVHS01,111,,,3600,13000,ADVHS01.11
30032,B0901,101,,,3600,13000,B0901.1
30032,E0901,103,,,3600,13000,E0901.3
30032,G0901,104,,,3600,13000,G0901.4
30032,H0904,104,,,3600,13000,H0904.4
30032,I0903,102,,,3600,13000,I0903.2
30032,J0903,103,,,3600,13000,J0903.3
30032,OC1305,102,,,3600,13000,OC1305.2
29118,A1006,107,,,3600,13000,A1006.7
29118,ADVHS01,101,,,3600,13000,ADVHS01.1
29118,B1001,107,,,3600,13000,B1001.7
29118,E1001,103,,,3600,13000,E1001.3
29118,G1004,104,,,3600,13000,G1004.4
29118,I1211,101,,,3600,13000,I1211.1
29118,OJ1306,101,,,3600,13000,OJ1306.1
29118,OZ1323,101,,,3600,13000,OZ1323.1
29038,A1006,106,,,3600,13000,A1006.6
29038,ADVHS01,119,,,3600,13000,ADVHS01.19
29038,B1001,103,,,3600,13000,B1001.3
29038,B1006,101,,,3600,13000,B1006.1
29038,E1001,105,,,3600,13000,E1001.5
29038,H1206,102,,,3600,13000,H1206.2
29038,I1003,107,,,3600,13000,I1003.7
29038,OC1311,101,,,3600,13000,OC1311.1
29038,VHS0052,101,,,3600,13000,VHS0052.1
29108,A1006,105,,,3600,13000,A1006.5
29108,ADVHS01,127,,,3600,13000,ADVHS01.27
29108,B1001,106,,,3600,13000,B1001.6
29108,E1001,104,,,3600,13000,E1001.4
29108,G1004,107,,,3600,13000,G1004.7
29108,H1206,101,,,3600,13000,H1206.1
29108,I1003,105,,,3600,13000,I1003.5
29108,OZ1323,105,,,3600,13000,OZ1323.5
28113,ADVHS01,117,,,3600,13000,ADVHS01.17
28113,C0905,101,,,3600,13000,C0905.1
28113,E1101,101,,,3600,13000,E1101.1
28113,G1203,104,,,3600,13000,G1203.4
28113,L1301,102,,,3600,13000,L1301.2
28113,OH1305,103,,,3600,13000,OH1305.3
28113,OI1305,101,,,3600,13000,OI1305.1
28160,A1006,106,,,3600,13000,A1006.6
28160,ADVHS01,125,,,3600,13000,ADVHS01.25
28160,B1001,105,,,3600,13000,B1001.5
28160,B1006,101,,,3600,13000,B1006.1
28160,C0905,101,,,3600,13000,C0905.1
28160,E1001,104,,,3600,13000,E1001.4
28160,G1004,102,,,3600,13000,G1004.2
28160,H1001,102,,,3600,13000,H1001.2
28160,I1003,107,,,3600,13000,I1003.7
28095,ADVHS01,104,,,3600,13000,ADVHS01.4
28095,E1101,101,,,3600,13000,E1101.1
28095,L1304,103,,,3600,13000,L1304.3
28095,OC1310,103,,,3600,13000,OC1310.3
28095,OH1305,103,,,3600,13000,OH1305.3
28095,OI1305,102,,,3600,13000,OI1305.2
28006,A1006,103,,,3600,13000,A1006.3
28006,ADVHS01,129,,,3600,13000,ADVHS01.29
28006,B1001,107,,,3600,13000,B1001.7
28006,B1006,101,,,3600,13000,B1006.1
28006,E1001,103,,,3600,13000,E1001.3
28006,G1004,104,,,3600,13000,G1004.4
28006,I1214,101,,,3600,13000,I1214.1
28006,OC1305,102,,,3600,13000,OC1305.2
28006,OI1003,102,,,3600,13000,OI1003.2
28038,ADVHS01,107,,,3600,13000,ADVHS01.7
28038,E1101,106,,,3600,13000,E1101.6
28038,G1203,103,,,3600,13000,G1203.3
28038,L1302,102,,,3600,13000,L1302.2
28038,OA1304,101,,,3600,13000,OA1304.1
28038,OC1305,101,,,3600,13000,OC1305.1
28038,OH1401,102,,,3600,13000,OH1401.2
28038,OI1305,104,,,3600,13000,OI1305.4
27141,A1204,102,,,3600,13000,A1204.2
27141,ADVHS01,118,,,3600,13000,ADVHS01.18
27141,E1201,101,,,3600,13000,E1201.1
27141,G1201,101,,,3600,13000,G1201.1
27141,J1203,101,,,3600,13000,J1203.1
27141,L1301,102,,,3600,13000,L1301.2
27141,OC1310,101,,,3600,13000,OC1310.1
27141,OH1501,102,,,3600,13000,OH1501.2
27141,OI1303,101,,,3600,13000,OI1303.1
27116,A1204,102,,,3600,13000,A1204.2
27116,ADVHS01,101,,,3600,13000,ADVHS01.1
27116,E1201,104,,,3600,13000,E1201.4
27116,G1201,102,,,3600,13000,G1201.2
27116,L1301,102,,,3600,13000,L1301.2
27116,OC1314,101,,,3600,13000,OC1314.1
27116,OH1501,101,,,3600,13000,OH1501.1
28090,ADVHS01,130,,,3600,13000,ADVHS01.30
28090,E1101,104,,,3600,13000,E1101.4
28090,L1301,101,,,3600,13000,L1301.1
28090,OA1319,102,,,3600,13000,OA1319.2
28090,OC1305,103,,,3600,13000,OC1305.3
28090,OH1305,103,,,3600,13000,OH1305.3
28090,OI1305,103,,,3600,13000,OI1305.3
28090,VHS0052,102,,,3600,13000,VHS0052.2
28168,ADVHS01,133,,,3600,13000,ADVHS01.33
28168,E1101,105,,,3600,13000,E1101.5
28168,G1205,101,,,3600,13000,G1205.1
28168,I1214,103,,,3600,13000,I1214.3
28168,OA1317,101,,,3600,13000,OA1317.1
28168,OA1319,102,,,3600,13000,OA1319.2
28168,OC1314,101,,,3600,13000,OC1314.1
28168,OI1003,101,,,3600,13000,OI1003.1
29007,A1006,104,,,3600,13000,A1006.4
29007,ADVHS01,109,,,3600,13000,ADVHS01.9
29007,B1001,103,,,3600,13000,B1001.3
29007,E1001,105,,,3600,13000,E1001.5
29007,G1004,106,,,3600,13000,G1004.6
29007,H1001,101,,,3600,13000,H1001.1
29007,I1003,107,,,3600,13000,I1003.7
29007,OC1305,102,,,3600,13000,OC1305.2
29007,OZ1323,104,,,3600,13000,OZ1323.4
29156,A1006,105,,,3600,13000,A1006.5
29156,ADVHS01,122,,,3600,13000,ADVHS01.22
29156,B1001,102,,,3600,13000,B1001.2
29156,B1006,102,,,3600,13000,B1006.2
29156,E1001,105,,,3600,13000,E1001.5
29156,G1004,106,,,3600,13000,G1004.6
29156,H1001,101,,,3600,13000,H1001.1
29156,OI1003,101,,,3600,13000,OI1003.1
28121,ADVHS01,128,,,3600,13000,ADVHS01.28
28121,E1101,106,,,3600,13000,E1101.6
28121,H1206,102,,,3600,13000,H1206.2
28121,OB1520,101,,,3600,13000,OB1520.1
28121,OC1305,101,,,3600,13000,OC1305.1
28121,OJ1203,101,,,3600,13000,OJ1203.1
28121,VHS0052,101,,,3600,13000,VHS0052.1
27041,ADVHS01,106,,,3600,13000,ADVHS01.6
27041,E1101,101,,,3600,13000,E1101.1
27041,G1203,104,,,3600,13000,G1203.4
27041,L1301,102,,,3600,13000,L1301.2
27041,OC1306,101,,,3600,13000,OC1306.1
27041,OC1314,101,,,3600,13000,OC1314.1
27041,OH1305,103,,,3600,13000,OH1305.3
28004,A1105,101,,,3600,13000,A1105.1
28004,ADVHS01,127,,,3600,13000,ADVHS01.27
28004,E1101,103,,,3600,13000,E1101.3
28004,G1203,102,,,3600,13000,G1203.2
28004,L1302,102,,,3600,13000,L1302.2
28004,OC1310,101,,,3600,13000,OC1310.1
28004,OH1401,101,,,3600,13000,OH1401.1
28004,OI1003,106,,,3600,13000,OI1003.6
28169,ADVHS01,124,,,3600,13000,ADVHS01.24
28169,E1101,105,,,3600,13000,E1101.5
28169,G1202,101,,,3600,13000,G1202.1
28169,L1304,103,,,3600,13000,L1304.3
28169,OC1307,101,,,3600,13000,OC1307.1
28169,OH1305,102,,,3600,13000,OH1305.2
28169,OI1003,103,,,3600,13000,OI1003.3
28169,OJ1306,101,,,3600,13000,OJ1306.1
29020,A1006,106,,,3600,13000,A1006.6
29020,ADVHS01,126,,,3600,13000,ADVHS01.26
29020,B1001,107,,,3600,13000,B1001.7
29020,B1006,102,,,3600,13000,B1006.2
29020,E1001,106,,,3600,13000,E1001.6
29020,G1004,103,,,3600,13000,G1004.3
29020,I1003,107,,,3600,13000,I1003.7
29020,OJ1204,101,,,3600,13000,OJ1204.1
28142,ADVHS01,128,,,3600,13000,ADVHS01.28
28142,E1101,101,,,3600,13000,E1101.1
28142,OC1310,103,,,3600,13000,OC1310.3
28142,OH1305,103,,,3600,13000,OH1305.3
28142,OI1305,105,,,3600,13000,OI1305.5
28142,OJ1203,101,,,3600,13000,OJ1203.1
28142,VHS0052,102,,,3600,13000,VHS0052.2
28104,A1105,102,,,3600,13000,A1105.2
28104,ADVHS01,102,,,3600,13000,ADVHS01.2
28104,E1101,104,,,3600,13000,E1101.4
28104,L1304,103,,,3600,13000,L1304.3
28104,OC1310,102,,,3600,13000,OC1310.2
28104,OH1305,101,,,3600,13000,OH1305.1
28104,OI1305,105,,,3600,13000,OI1305.5
27058,ADVHS01,127,,,3600,13000,ADVHS01.27
27058,E1101,106,,,3600,13000,E1101.6
27058,H1206,101,,,3600,13000,H1206.1
27058,L1302,102,,,3600,13000,L1302.2
27058,OA1304,101,,,3600,13000,OA1304.1
27058,OC1305,104,,,3600,13000,OC1305.4
27058,OI1003,102,,,3600,13000,OI1003.2
27058,VHS0052,101,,,3600,13000,VHS0052.1
28093,ADVHS01,132,,,3600,13000,ADVHS01.32
28093,C0904,103,,,3600,13000,C0904.3
28093,E1101,103,,,3600,13000,E1101.3
28093,H1206,101,,,3600,13000,H1206.1
28093,L1302,102,,,3600,13000,L1302.2
28093,OA1319,101,,,3600,13000,OA1319.1
28093,OI1305,102,,,3600,13000,OI1305.2
29036,A1006,101,,,3600,13000,A1006.1
29036,ADVHS01,106,,,3600,13000,ADVHS01.6
29036,B1001,103,,,3600,13000,B1001.3
29036,E1001,102,,,3600,13000,E1001.2
29036,G1004,101,,,3600,13000,G1004.1
29036,I1003,107,,,3600,13000,I1003.7
29036,I1214,102,,,3600,13000,I1214.2
29036,OC1305,102,,,3600,13000,OC1305.2
29036,OZ1323,102,,,3600,13000,OZ1323.2
27140,ADVHS01,101,,,3600,13000,ADVHS01.1
27140,C0907,101,,,3600,13000,C0907.1
27140,E1201,102,,,3600,13000,E1201.2
27140,G1201,101,,,3600,13000,G1201.1
27140,J1203,102,,,3600,13000,J1203.2
27140,L1303,101,,,3600,13000,L1303.1
27140,OH1501,102,,,3600,13000,OH1501.2
27140,OI1305,104,,,3600,13000,OI1305.4
28056,ADVHS01,103,,,3600,13000,ADVHS01.3
28056,C0904,103,,,3600,13000,C0904.3
28056,E1101,101,,,3600,13000,E1101.1
28056,G1203,102,,,3600,13000,G1203.2
28056,OH1305,101,,,3600,13000,OH1305.1
28056,OI1003,104,,,3600,13000,OI1003.4
28056,OJ1204,101,,,3600,13000,OJ1204.1
29149,A1006,107,,,3600,13000,A1006.7
29149,ADVHS01,107,,,3600,13000,ADVHS01.7
29149,B1001,104,,,3600,13000,B1001.4
29149,E1001,102,,,3600,13000,E1001.2
29149,G1004,103,,,3600,13000,G1004.3
29149,H1206,101,,,3600,13000,H1206.1
29149,I1211,101,,,3600,13000,I1211.1
29149,OC1312,101,,,3600,13000,OC1312.1
29149,OZ1323,105,,,3600,13000,OZ1323.5
27120,ADVHS01,132,,,3600,13000,ADVHS01.32
27120,E1201,106,,,3600,13000,E1201.6
27120,I1208,101,,,3600,13000,I1208.1
27120,J1203,105,,,3600,13000,J1203.5
27120,L1301,102,,,3600,13000,L1301.2
27120,OA1317,101,,,3600,13000,OA1317.1
27120,OC1310,103,,,3600,13000,OC1310.3
27120,OH1501,101,,,3600,13000,OH1501.1
27103,A1204,102,,,3600,13000,A1204.2
27103,ADVHS01,134,,,3600,13000,ADVHS01.34
27103,E1201,103,,,3600,13000,E1201.3
27103,G1201,101,,,3600,13000,G1201.1
27103,OB1532,101,,,3600,13000,OB1532.1
27103,OH1501,101,,,3600,13000,OH1501.1
27103,OI1303,101,,,3600,13000,OI1303.1
27103,OI1305,104,,,3600,13000,OI1305.4
27027,A1204,102,,,3600,13000,A1204.2
27027,ADVHS01,118,,,3600,13000,ADVHS01.18
27027,E1201,101,,,3600,13000,E1201.1
27027,G1201,101,,,3600,13000,G1201.1
27027,J1203,105,,,3600,13000,J1203.5
27027,L1302,101,,,3600,13000,L1302.1
27027,OC1310,101,,,3600,13000,OC1310.1
27027,OH1501,102,,,3600,13000,OH1501.2
27027,OI1305,102,,,3600,13000,OI1305.2
29103,A1006,103,,,3600,13000,A1006.3
29103,ADVHS01,133,,,3600,13000,ADVHS01.33
29103,B1001,107,,,3600,13000,B1001.7
29103,E1001,105,,,3600,13000,E1001.5
29103,G1004,106,,,3600,13000,G1004.6
29103,I1214,101,,,3600,13000,I1214.1
29103,OZ1323,104,,,3600,13000,OZ1323.4
28097,A1105,101,,,3600,13000,A1105.1
28097,ADVHS01,106,,,3600,13000,ADVHS01.6
28097,E1101,103,,,3600,13000,E1101.3
28097,G1203,101,,,3600,13000,G1203.1
28097,H1206,102,,,3600,13000,H1206.2
28097,L1301,103,,,3600,13000,L1301.3
28097,OC1305,101,,,3600,13000,OC1305.1
28097,OI1305,103,,,3600,13000,OI1305.3
