Day,Block,Period,SectionID,CourseID,TeacherID,RoomID
D,5,P04,SCI7.5,SCI7,T644,R083
D,1,P08,SCI7.6,SCI7,T630,R073
B,3,P08,SCI7.6,SCI7,T630,R073
E,5,P08,SCI7.6,SCI7,T630,R073
A,2,P02,SCI7.7,SCI7,T631,R072
D,3,P02,SCI7.7,SCI7,T631,R072
B,5,P02,SCI7.7,SCI7,T631,R072
A,2,P02,SCI7.8,SCI7,T632,R071
D,3,P02,SCI7.8,SCI7,T632,R071
B,5,P02,SCI7.8,SCI7,T632,R071
C,1,P03,SCI7.9,SCI7,T633,R085
A,3,P03,SCI7.9,SCI7,T633,R085
D,4,P03,SCI7.9,SCI7,T633,R085
A,1,P01,SCI7.10,SCI7,T634,R071
D,2,P01,SCI7.10,SCI7,T634,R071
B,4,P01,SCI7.10,SCI7,T634,R071
B,1,P06,SS7.1,SS7,T655,R006
E,2,P06,SS7.1,SS7,T655,R006
C,4,P06,SS7.1,SS7,T655,R006
E,1,P05,SS7.2,SS7,T656,R069
C,3,P05,SS7.2,SS7,T656,R069
A,5,P05,SS7.2,SS7,T656,R069
A,1,P01,SS7.3,SS7,T657,R002
D,2,P01,SS7.3,SS7,T657,R002
B,4,P01,SS7.3,SS7,T657,R002
E,1,P05,SS7.4,SS7,T658,R005
C,3,P05,SS7.4,SS7,T658,R005
A,5,P05,SS7.4,SS7,T658,R005
E,1,P05,SS7.5,SS7,T659,R021
C,3,P05,SS7.5,SS7,T659,R021
A,5,P05,SS7.5,SS7,T659,R021
B,1,P06,SS7.6,SS7,T645,R023
E,2,P06,SS7.6,SS7,T645,R023
C,4,P06,SS7.6,SS7,T645,R023
B,1,P06,SS7.7,SS7,T646,R016
E,2,P06,SS7.7,SS7,T646,R016
C,4,P06,SS7.7,SS7,T646,R016
A,2,P02,SS7.8,SS7,T647,R069
D,3,P02,SS7.8,SS7,T647,R069
B,5,P02,SS7.8,SS7,T647,R069
E,1,P05,SS7.9,SS7,T648,R034
C,3,P05,SS7.9,SS7,T648,R034
A,5,P05,SS7.9,SS7,T648,R034
C,1,P03,SS7.10,SS7,T649,R034
A,3,P03,SS7.10,SS7,T649,R034
D,4,P03,SS7.10,SS7,T649,R034
B,1,P06,SPAN7.1,SPAN7,T660,R070
E,2,P06,SPAN7.1,SPAN7,T660,R070
C,4,P06,SPAN7.1,SPAN7,T660,R070
D,1,P08,SPAN7.2,SPAN7,T661,R005
B,3,P08,SPAN7.2,SPAN7,T661,R005
E,5,P08,SPAN7.2,SPAN7,T661,R005
B,2,P07,SPAN7.3,SPAN7,T662,R009
E,4,P07,SPAN7.3,SPAN7,T662,R009
C,5,P07,SPAN7.3,SPAN7,T662,R009
A,1,P01,SPAN7.4,SPAN7,T663,R069
D,2,P01,SPAN7.4,SPAN7,T663,R069
B,4,P01,SPAN7.4,SPAN7,T663,R069
B,2,P07,SPAN7.5,SPAN7,T664,R007
E,4,P07,SPAN7.5,SPAN7,T664,R007
C,5,P07,SPAN7.5,SPAN7,T664,R007
C,2,P04,SPAN7.6,SPAN7,T665,R043
A,4,P04,SPAN7.6,SPAN7,T665,R043
D,5,P04,SPAN7.6,SPAN7,T665,R043
A,2,P02,SPAN7.7,SPAN7,T666,R026
D,3,P02,SPAN7.7,SPAN7,T666,R026
B,5,P02,SPAN7.7,SPAN7,T666,R026
C,1,P03,SPAN7.8,SPAN7,T667,R002
A,3,P03,SPAN7.8,SPAN7,T667,R002
D,4,P03,SPAN7.8,SPAN7,T667,R002
E,1,P05,SPAN7.9,SPAN7,T668,R001
C,3,P05,SPAN7.9,SPAN7,T668,R001
A,5,P05,SPAN7.9,SPAN7,T668,R001
E,1,P05,SPAN7.10,SPAN7,T669,R002
C,3,P05,SPAN7.10,SPAN7,T669,R002
A,5,P05,SPAN7.10,SPAN7,T669,R002
C,2,P04,PE7.1,PE7,T675,R107
A,4,P04,PE7.1,PE7,T675,R107
D,5,P04,PE7.1,PE7,T675,R107
A,1,P01,PE7.2,PE7,T676,R101
D,2,P01,PE7.2,PE7,T676,R101
B,4,P01,PE7.2,PE7,T676,R101
C,2,P04,PE7.3,PE7,T677,R101
A,4,P04,PE7.3,PE7,T677,R101
D,5,P04,PE7.3,PE7,T677,R101
B,1,P06,PE7.4,PE7,T678,R098
E,2,P06,PE7.4,PE7,T678,R098
C,4,P06,PE7.4,PE7,T678,R098
A,2,P02,PE7.5,PE7,T679,R101
D,3,P02,PE7.5,PE7,T679,R101
B,5,P02,PE7.5,PE7,T679,R101
B,2,P07,PE7.6,PE7,T680,R104
E,4,P07,PE7.6,PE7,T680,R104
C,5,P07,PE7.6,PE7,T680,R104
B,2,P07,PE7.7,PE7,T681,R101
E,4,P07,PE7.7,PE7,T681,R101
C,5,P07,PE7.7,PE7,T681,R101
B,2,P07,PE7.8,PE7,T682,R107
E,4,P07,PE7.8,PE7,T682,R107
C,5,P07,PE7.8,PE7,T682,R107
C,1,P03,PE7.9,PE7,T683,R110
A,3,P03,PE7.9,PE7,T683,R110
D,4,P03,PE7.9,PE7,T683,R110
B,2,P07,PE7.10,PE7,T684,R110
E,4,P07,PE7.10,PE7,T684,R110
C,5,P07,PE7.10,PE7,T684,R110
A,1,P01,ENG8.1,ENG8,T605,R068
D,2,P01,ENG8.1,ENG8,T605,R068
B,4,P01,ENG8.1,ENG8,T605,R068
E,1,P05,ENG8.2,ENG8,T606,R051
C,3,P05,ENG8.2,ENG8,T606,R051
A,5,P05,ENG8.2,ENG8,T606,R051
B,2,P07,ENG8.3,ENG8,T607,R049
E,4,P07,ENG8.3,ENG8,T607,R049
C,5,P07,ENG8.3,ENG8,T607,R049
A,2,P02,ENG8.4,ENG8,T608,R051
D,3,P02,ENG8.4,ENG8,T608,R051
B,5,P02,ENG8.4,ENG8,T608,R051
B,1,P06,ENG8.5,ENG8,T609,R062
E,2,P06,ENG8.5,ENG8,T609,R062
C,4,P06,ENG8.5,ENG8,T609,R062
B,2,P07,ENG8.6,ENG8,T610,R005
E,4,P07,ENG8.6,ENG8,T610,R005
C,5,P07,ENG8.6,ENG8,T610,R005
B,2,P07,ENG8.7,ENG8,T611,R006
E,4,P07,ENG8.7,ENG8,T611,R006
C,5,P07,ENG8.7,ENG8,T611,R006
B,2,P07,ENG8.8,ENG8,T612,R008
E,4,P07,ENG8.8,ENG8,T612,R008
C,5,P07,ENG8.8,ENG8,T612,R008
E,1,P05,ENG8.9,ENG8,T613,R004
C,3,P05,ENG8.9,ENG8,T613,R004
A,5,P05,ENG8.9,ENG8,T613,R004
E,1,P05,ENG8.10,ENG8,T614,R064
C,3,P05,ENG8.10,ENG8,T614,R064
A,5,P05,ENG8.10,ENG8,T614,R064
D,1,P08,MATH8.1,MATH8,T620,R031
B,3,P08,MATH8.1,MATH8,T620,R031
E,5,P08,MATH8.1,MATH8,T620,R031
B,2,P07,MATH8.2,MATH8,T621,R029
E,4,P07,MATH8.2,MATH8,T621,R029
C,5,P07,MATH8.2,MATH8,T621,R029
A,1,P01,MATH8.3,MATH8,T622,R051
D,2,P01,MATH8.3,MATH8,T622,R051
B,4,P01,MATH8.3,MATH8,T622,R051
D,1,P08,MATH8.4,MATH8,T623,R026
B,3,P08,MATH8.4,MATH8,T623,R026
E,5,P08,MATH8.4,MATH8,T623,R026
C,2,P04,MATH8.5,MATH8,T624,R070
A,4,P04,MATH8.5,MATH8,T624,R070
D,5,P04,MATH8.5,MATH8,T624,R070
D,1,P08,MATH8.6,MATH8,T625,R003
B,3,P08,MATH8.6,MATH8,T625,R003
E,5,P08,MATH8.6,MATH8,T625,R003
A,2,P02,MATH8.7,MATH8,T626,R036
D,3,P02,MATH8.7,MATH8,T626,R036
B,5,P02,MATH8.7,MATH8,T626,R036
C,1,P03,MATH8.8,MATH8,T627,R029
A,3,P03,MATH8.8,MATH8,T627,R029
D,4,P03,MATH8.8,MATH8,T627,R029
C,1,P03,MATH8.9,MATH8,T628,R025
A,3,P03,MATH8.9,MATH8,T628,R025
D,4,P03,MATH8.9,MATH8,T628,R025
B,1,P06,MATH8.10,MATH8,T629,R040
E,2,P06,MATH8.10,MATH8,T629,R040
C,4,P06,MATH8.10,MATH8,T629,R040
A,2,P02,SCI8.1,SCI8,T635,R082
D,3,P02,SCI8.1,SCI8,T635,R082
B,5,P02,SCI8.1,SCI8,T635,R082
C,2,P04,SCI8.2,SCI8,T636,R071
A,4,P04,SCI8.2,SCI8,T636,R071
D,5,P04,SCI8.2,SCI8,T636,R071
D,1,P08,SCI8.3,SCI8,T637,R071
B,3,P08,SCI8.3,SCI8,T637,R071
E,5,P08,SCI8.3,SCI8,T637,R071
B,1,P06,SCI8.4,SCI8,T638,R071
E,2,P06,SCI8.4,SCI8,T638,R071
C,4,P06,SCI8.4,SCI8,T638,R071
D,1,P08,SCI8.5,SCI8,T639,R072
B,3,P08,SCI8.5,SCI8,T639,R072
E,5,P08,SCI8.5,SCI8,T639,R072
C,1,P03,SCI8.6,SCI8,T640,R073
A,3,P03,SCI8.6,SCI8,T640,R073
D,4,P03,SCI8.6,SCI8,T640,R073
A,1,P01,SCI8.7,SCI8,T641,R073
D,2,P01,SCI8.7,SCI8,T641,R073
B,4,P01,SCI8.7,SCI8,T641,R073
A,2,P02,SCI8.8,SCI8,T642,R074
D,3,P02,SCI8.8,SCI8,T642,R074
B,5,P02,SCI8.8,SCI8,T642,R074
A,1,P01,SCI8.9,SCI8,T643,R084
D,2,P01,SCI8.9,SCI8,T643,R084
B,4,P01,SCI8.9,SCI8,T643,R084
A,1,P01,SCI8.10,SCI8,T644,R074
D,2,P01,SCI8.10,SCI8,T644,R074
B,4,P01,SCI8.10,SCI8,T644,R074
B,2,P07,SS8.1,SS8,T650,R010
E,4,P07,SS8.1,SS8,T650,R010
C,5,P07,SS8.1,SS8,T650,R010
C,1,P03,SS8.2,SS8,T651,R028
A,3,P03,SS8.2,SS8,T651,R028
D,4,P03,SS8.2,SS8,T651,R028
C,1,P03,SS8.3,SS8,T652,R026
A,3,P03,SS8.3,SS8,T652,R026
D,4,P03,SS8.3,SS8,T652,R026
C,1,P03,SS8.4,SS8,T653,R065
A,3,P03,SS8.4,SS8,T653,R065
D,4,P03,SS8.4,SS8,T653,R065
B,2,P07,SS8.5,SS8,T654,R062
E,4,P07,SS8.5,SS8,T654,R062
C,5,P07,SS8.5,SS8,T654,R062
C,2,P04,SS8.6,SS8,T655,R046
A,4,P04,SS8.6,SS8,T655,R046
D,5,P04,SS8.6,SS8,T655,R046
A,1,P01,SS8.7,SS8,T656,R008
D,2,P01,SS8.7,SS8,T656,R008
B,4,P01,SS8.7,SS8,T656,R008
B,1,P06,SS8.8,SS8,T657,R042
E,2,P06,SS8.8,SS8,T657,R042
C,4,P06,SS8.8,SS8,T657,R042
A,2,P02,SS8.9,SS8,T658,R025
D,3,P02,SS8.9,SS8,T658,R025
B,5,P02,SS8.9,SS8,T658,R025
C,1,P03,SS8.10,SS8,T659,R066
A,3,P03,SS8.10,SS8,T659,R066
D,4,P03,SS8.10,SS8,T659,R066
E,1,P05,SPAN8.1,SPAN8,T660,R003
C,3,P05,SPAN8.1,SPAN8,T660,R003
A,5,P05,SPAN8.1,SPAN8,T660,R003
C,2,P04,SPAN8.2,SPAN8,T661,R052
A,4,P04,SPAN8.2,SPAN8,T661,R052
D,5,P04,SPAN8.2,SPAN8,T661,R052
D,1,P08,SPAN8.3,SPAN8,T662,R058
B,3,P08,SPAN8.3,SPAN8,T662,R058
E,5,P08,SPAN8.3,SPAN8,T662,R058
E,1,P05,SPAN8.4,SPAN8,T663,R006
C,3,P05,SPAN8.4,SPAN8,T663,R006
A,5,P05,SPAN8.4,SPAN8,T663,R006
C,2,P04,SPAN8.5,SPAN8,T664,R050
A,4,P04,SPAN8.5,SPAN8,T664,R050
D,5,P04,SPAN8.5,SPAN8,T664,R050
A,2,P02,SPAN8.6,SPAN8,T665,R004
D,3,P02,SPAN8.6,SPAN8,T665,R004
B,5,P02,SPAN8.6,SPAN8,T665,R004
B,2,P07,SPAN8.7,SPAN8,T666,R066
E,4,P07,SPAN8.7,SPAN8,T666,R066
C,5,P07,SPAN8.7,SPAN8,T666,R066
B,1,P06,SPAN8.8,SPAN8,T667,R005
E,2,P06,SPAN8.8,SPAN8,T667,R005
C,4,P06,SPAN8.8,SPAN8,T667,R005
A,1,P01,SPAN8.9,SPAN8,T668,R070
D,2,P01,SPAN8.9,SPAN8,T668,R070
B,4,P01,SPAN8.9,SPAN8,T668,R070
A,2,P02,SPAN8.10,SPAN8,T669,R067
D,3,P02,SPAN8.10,SPAN8,T669,R067
B,5,P02,SPAN8.10,SPAN8,T669,R067
A,2,P02,PE8.1,PE8,T675,R104
D,3,P02,PE8.1,PE8,T675,R104
B,5,P02,PE8.1,PE8,T675,R104
D,1,P08,PE8.2,PE8,T676,R101
B,3,P08,PE8.2,PE8,T676,R101
E,5,P08,PE8.2,PE8,T676,R101
B,1,P06,PE8.3,PE8,T677,R101
E,2,P06,PE8.3,PE8,T677,R101
C,4,P06,PE8.3,PE8,T677,R101
A,2,P02,PE8.4,PE8,T678,R098
D,3,P02,PE8.4,PE8,T678,R098
B,5,P02,PE8.4,PE8,T678,R098
C,2,P04,PE8.5,PE8,T679,R110
A,4,P04,PE8.5,PE8,T679,R110
D,5,P04,PE8.5,PE8,T679,R110
E,1,P05,PE8.6,PE8,T680,R098
C,3,P05,PE8.6,PE8,T680,R098
A,5,P05,PE8.6,PE8,T680,R098
A,1,P01,PE8.7,PE8,T681,R107
D,2,P01,PE8.7,PE8,T681,R107
