SchoolID,StudentID,SectionID,CourseID,TermID
Columbus Middle School,M2026006,MATH6.2,MATH6,2026-2027
Columbus Middle School,M2026006,PE6.10,PE6,2026-2027
Columbus Middle School,M2026006,SCI6.2,SCI6,2026-2027
Columbus Middle School,M2026006,SPAN6.8,SPAN6,2026-2027
Columbus Middle School,M2026006,SS6.8,SS6,2026-2027
Columbus Middle School,M2026007,ADV_MS.6,ADV_MS,2026-2027
Columbus Middle School,M2026007,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026007,MATH6.9,MATH6,2026-2027
Columbus Middle School,M2026007,PE6.8,PE6,2026-2027
Columbus Middle School,M2026007,SCI6.8,SCI6,2026-2027
Columbus Middle School,M2026007,SPAN6.4,SPAN6,2026-2027
Columbus Middle School,M2026007,SS6.10,SS6,2026-2027
Columbus Middle School,M2026008,ADV_MS.1,ADV_MS,2026-2027
Columbus Middle School,M2026008,ENG6.5,ENG6,2026-2027
Columbus Middle School,M2026008,MATH6.9,MATH6,2026-2027
Columbus Middle School,M2026008,PE6.6,PE6,2026-2027
Columbus Middle School,M2026008,SCI6.2,SCI6,2026-2027
Columbus Middle School,M2026008,SPAN6.10,SPAN6,2026-2027
Columbus Middle School,M2026008,SS6.6,SS6,2026-2027
Columbus Middle School,M2026009,ADV_MS.26,ADV_MS,2026-2027
Columbus Middle School,M2026009,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026009,MATH6.7,MATH6,2026-2027
Columbus Middle School,M2026009,PE6.2,PE6,2026-2027
Columbus Middle School,M2026009,SCI6.5,SCI6,2026-2027
Columbus Middle School,M2026009,SPAN6.9,SPAN6,2026-2027
Columbus Middle School,M2026009,SS6.6,SS6,2026-2027
Columbus Middle School,M2026010,ADV_MS.25,ADV_MS,2026-2027
Columbus Middle School,M2026010,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026010,MATH6.9,MATH6,2026-2027
Columbus Middle School,M2026010,PE6.8,PE6,2026-2027
Columbus Middle School,M2026010,SCI6.10,SCI6,2026-2027
Columbus Middle School,M2026010,SPAN6.1,SPAN6,2026-2027
Columbus Middle School,M2026010,SS6.10,SS6,2026-2027
Columbus Middle School,M2026011,ADV_MS.23,ADV_MS,2026-2027
Columbus Middle School,M2026011,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026011,MATH6.10,MATH6,2026-2027
Columbus Middle School,M2026011,PE6.7,PE6,2026-2027
Columbus Middle School,M2026011,SCI6.3,SCI6,2026-2027
Columbus Middle School,M2026011,SPAN6.6,SPAN6,2026-2027
Columbus Middle School,M2026011,SS6.9,SS6,2026-2027
Columbus Middle School,M2026012,ADV_MS.25,ADV_MS,2026-2027
Columbus Middle School,M2026012,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026012,MATH6.2,MATH6,2026-2027
Columbus Middle School,M2026012,PE6.4,PE6,2026-2027
Columbus Middle School,M2026012,SCI6.9,SCI6,2026-2027
Columbus Middle School,M2026012,SPAN6.7,SPAN6,2026-2027
Columbus Middle School,M2026012,SS6.7,SS6,2026-2027
Columbus Middle School,M2026013,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026013,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026013,MATH6.10,MATH6,2026-2027
Columbus Middle School,M2026013,PE6.8,PE6,2026-2027
Columbus Middle School,M2026013,SCI6.3,SCI6,2026-2027
Columbus Middle School,M2026013,SPAN6.4,SPAN6,2026-2027
Columbus Middle School,M2026013,SS6.4,SS6,2026-2027
Columbus Middle School,M2026014,ADV_MS.25,ADV_MS,2026-2027
Columbus Middle School,M2026014,ENG6.2,ENG6,2026-2027
Columbus Middle School,M2026014,MATH6.10,MATH6,2026-2027
Columbus Middle School,M2026014,PE6.3,PE6,2026-2027
Columbus Middle School,M2026014,SCI6.4,SCI6,2026-2027
Columbus Middle School,M2026014,SPAN6.10,SPAN6,2026-2027
Columbus Middle School,M2026014,SS6.7,SS6,2026-2027
Columbus Middle School,M2026015,ADV_MS.25,ADV_MS,2026-2027
Columbus Middle School,M2026015,ENG6.3,ENG6,2026-2027
Columbus Middle School,M2026015,MATH6.9,MATH6,2026-2027
Columbus Middle School,M2026015,PE6.8,PE6,2026-2027
Columbus Middle School,M2026015,SCI6.4,SCI6,2026-2027
Columbus Middle School,M2026015,SPAN6.1,SPAN6,2026-2027
Columbus Middle School,M2026015,SS6.10,SS6,2026-2027
Columbus Middle School,M2026016,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026016,ENG6.4,ENG6,2026-2027
Columbus Middle School,M2026016,MATH6.7,MATH6,2026-2027
Columbus Middle School,M2026016,PE6.4,PE6,2026-2027
Columbus Middle School,M2026016,SCI6.9,SCI6,2026-2027
Columbus Middle School,M2026016,SPAN6.9,SPAN6,2026-2027
Columbus Middle School,M2026016,SS6.9,SS6,2026-2027
Columbus Middle School,M2026017,ADV_MS.26,ADV_MS,2026-2027
Columbus Middle School,M2026017,ENG6.3,ENG6,2026-2027
Columbus Middle School,M2026017,MATH6.10,MATH6,2026-2027
Columbus Middle School,M2026017,PE6.10,PE6,2026-2027
Columbus Middle School,M2026017,SCI6.9,SCI6,2026-2027
Columbus Middle School,M2026017,SPAN6.10,SPAN6,2026-2027
Columbus Middle School,M2026017,SS6.7,SS6,2026-2027
Columbus Middle School,M2026018,ADV_MS.28,ADV_MS,2026-2027
Columbus Middle School,M2026018,ENG6.1,ENG6,2026-2027
Columbus Middle School,M2026018,MATH6.5,MATH6,2026-2027
Columbus Middle School,M2026018,PE6.10,PE6,2026-2027
Columbus Middle School,M2026018,SCI6.9,SCI6,2026-2027
Columbus Middle School,M2026018,SPAN6.6,SPAN6,2026-2027
Columbus Middle School,M2026018,SS6.3,SS6,2026-2027
Columbus Middle School,M2026019,ADV_MS.26,ADV_MS,2026-2027
Columbus Middle School,M2026019,ENG6.8,ENG6,2026-2027
Columbus Middle School,M2026019,MATH6.2,MATH6,2026-2027
Columbus Middle School,M2026019,PE6.5,PE6,2026-2027
Columbus Middle School,M2026019,SCI6.7,SCI6,2026-2027
Columbus Middle School,M2026019,SPAN6.3,SPAN6,2026-2027
Columbus Middle School,M2026019,SS6.1,SS6,2026-2027
Columbus Middle School,M2026020,ADV_MS.25,ADV_MS,2026-2027
Columbus Middle School,M2026020,ENG6.7,ENG6,2026-2027
Columbus Middle School,M2026020,MATH6.4,MATH6,2026-2027
Columbus Middle School,M2026020,PE6.7,PE6,2026-2027
Columbus Middle School,M2026020,SCI6.1,SCI6,2026-2027
Columbus Middle School,M2026020,SPAN6.5,SPAN6,2026-2027
Columbus Middle School,M2026020,SS6.6,SS6,2026-2027
Columbus Middle School,M2026021,ADV_MS.23,ADV_MS,2026-2027
Columbus Middle School,M2026021,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026021,MATH6.5,MATH6,2026-2027
Columbus Middle School,M2026021,PE6.7,PE6,2026-2027
Columbus Middle School,M2026021,SCI6.8,SCI6,2026-2027
Columbus Middle School,M2026021,SPAN6.8,SPAN6,2026-2027
Columbus Middle School,M2026021,SS6.10,SS6,2026-2027
Columbus Middle School,M2026022,ADV_MS.25,ADV_MS,2026-2027
Columbus Middle School,M2026022,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026022,MATH6.6,MATH6,2026-2027
Columbus Middle School,M2026022,PE6.8,PE6,2026-2027
Columbus Middle School,M2026022,SCI6.6,SCI6,2026-2027
Columbus Middle School,M2026022,SPAN6.6,SPAN6,2026-2027
Columbus Middle School,M2026022,SS6.1,SS6,2026-2027
Columbus Middle School,M2026023,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026023,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026023,MATH6.5,MATH6,2026-2027
Columbus Middle School,M2026023,PE6.8,PE6,2026-2027
Columbus Middle School,M2026023,SCI6.6,SCI6,2026-2027
Columbus Middle School,M2026023,SPAN6.10,SPAN6,2026-2027
Columbus Middle School,M2026023,SS6.4,SS6,2026-2027
Columbus Middle School,M2026024,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026024,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026024,MATH6.4,MATH6,2026-2027
Columbus Middle School,M2026024,PE6.5,PE6,2026-2027
Columbus Middle School,M2026024,SCI6.1,SCI6,2026-2027
Columbus Middle School,M2026024,SPAN6.5,SPAN6,2026-2027
Columbus Middle School,M2026024,SS6.6,SS6,2026-2027
Columbus Middle School,M2026025,ADV_MS.2,ADV_MS,2026-2027
Columbus Middle School,M2026025,ENG6.9,ENG6,2026-2027
Columbus Middle School,M2026025,MATH6.5,MATH6,2026-2027
Columbus Middle School,M2026025,PE6.8,PE6,2026-2027
Columbus Middle School,M2026025,SCI6.4,SCI6,2026-2027
Columbus Middle School,M2026025,SPAN6.7,SPAN6,2026-2027
Columbus Middle School,M2026025,SS6.8,SS6,2026-2027
Columbus Middle School,M2026026,ADV_MS.2,ADV_MS,2026-2027
Columbus Middle School,M2026026,ENG6.4,ENG6,2026-2027
Columbus Middle School,M2026026,MATH6.2,MATH6,2026-2027
Columbus Middle School,M2026026,PE6.6,PE6,2026-2027
Columbus Middle School,M2026026,SCI6.3,SCI6,2026-2027
Columbus Middle School,M2026026,SPAN6.7,SPAN6,2026-2027
Columbus Middle School,M2026026,SS6.1,SS6,2026-2027
Columbus Middle School,M2026027,ADV_MS.24,ADV_MS,2026-2027
Columbus Middle School,M2026027,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026027,MATH6.1,MATH6,2026-2027
Columbus Middle School,M2026027,PE6.9,PE6,2026-2027
Columbus Middle School,M2026027,SCI6.4,SCI6,2026-2027
Columbus Middle School,M2026027,SPAN6.10,SPAN6,2026-2027
Columbus Middle School,M2026027,SS6.7,SS6,2026-2027
Columbus Middle School,M2026028,ADV_MS.28,ADV_MS,2026-2027
Columbus Middle School,M2026028,ENG6.9,ENG6,2026-2027
Columbus Middle School,M2026028,MATH6.4,MATH6,2026-2027
Columbus Middle School,M2026028,PE6.7,PE6,2026-2027
Columbus Middle School,M2026028,SCI6.3,SCI6,2026-2027
Columbus Middle School,M2026028,SPAN6.8,SPAN6,2026-2027
Columbus Middle School,M2026028,SS6.9,SS6,2026-2027
Columbus Middle School,M2026029,ADV_MS.22,ADV_MS,2026-2027
Columbus Middle School,M2026029,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026029,MATH6.5,MATH6,2026-2027
Columbus Middle School,M2026029,PE6.10,PE6,2026-2027
Columbus Middle School,M2026029,SCI6.3,SCI6,2026-2027
Columbus Middle School,M2026029,SPAN6.10,SPAN6,2026-2027
Columbus Middle School,M2026029,SS6.1,SS6,2026-2027
Columbus Middle School,M2026030,ADV_MS.11,ADV_MS,2026-2027
Columbus Middle School,M2026030,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026030,MATH6.10,MATH6,2026-2027
Columbus Middle School,M2026030,PE6.10,PE6,2026-2027
Columbus Middle School,M2026030,SCI6.10,SCI6,2026-2027
Columbus Middle School,M2026030,SPAN6.5,SPAN6,2026-2027
Columbus Middle School,M2026030,SS6.6,SS6,2026-2027
Columbus Middle School,M2026031,ADV_MS.26,ADV_MS,2026-2027
Columbus Middle School,M2026031,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026031,MATH6.6,MATH6,2026-2027
Columbus Middle School,M2026031,PE6.7,PE6,2026-2027
Columbus Middle School,M2026031,SCI6.5,SCI6,2026-2027
Columbus Middle School,M2026031,SPAN6.4,SPAN6,2026-2027
Columbus Middle School,M2026031,SS6.10,SS6,2026-2027
Columbus Middle School,M2026032,ADV_MS.25,ADV_MS,2026-2027
Columbus Middle School,M2026032,ENG6.4,ENG6,2026-2027
Columbus Middle School,M2026032,MATH6.8,MATH6,2026-2027
Columbus Middle School,M2026032,PE6.5,PE6,2026-2027
Columbus Middle School,M2026032,SCI6.9,SCI6,2026-2027
Columbus Middle School,M2026032,SPAN6.9,SPAN6,2026-2027
Columbus Middle School,M2026032,SS6.5,SS6,2026-2027
Columbus Middle School,M2026033,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026033,ENG6.1,ENG6,2026-2027
Columbus Middle School,M2026033,MATH6.4,MATH6,2026-2027
Columbus Middle School,M2026033,PE6.7,PE6,2026-2027
Columbus Middle School,M2026033,SCI6.4,SCI6,2026-2027
Columbus Middle School,M2026033,SPAN6.6,SPAN6,2026-2027
Columbus Middle School,M2026033,SS6.9,SS6,2026-2027
Columbus Middle School,M2026034,ADV_MS.17,ADV_MS,2026-2027
Columbus Middle School,M2026034,ENG6.4,ENG6,2026-2027
Columbus Middle School,M2026034,MATH6.8,MATH6,2026-2027
Columbus Middle School,M2026034,PE6.5,PE6,2026-2027
Columbus Middle School,M2026034,SCI6.6,SCI6,2026-2027
Columbus Middle School,M2026034,SPAN6.6,SPAN6,2026-2027
Columbus Middle School,M2026034,SS6.2,SS6,2026-2027
Columbus Middle School,M2026035,ADV_MS.18,ADV_MS,2026-2027
Columbus Middle School,M2026035,ENG6.1,ENG6,2026-2027
Columbus Middle School,M2026035,MATH6.1,MATH6,2026-2027
Columbus Middle School,M2026035,PE6.9,PE6,2026-2027
Columbus Middle School,M2026035,SCI6.2,SCI6,2026-2027
Columbus Middle School,M2026035,SPAN6.10,SPAN6,2026-2027
Columbus Middle School,M2026035,SS6.8,SS6,2026-2027
Columbus Middle School,M2026036,ADV_MS.28,ADV_MS,2026-2027
Columbus Middle School,M2026036,ENG6.5,ENG6,2026-2027
Columbus Middle School,M2026036,MATH6.2,MATH6,2026-2027
Columbus Middle School,M2026036,PE6.3,PE6,2026-2027
Columbus Middle School,M2026036,SCI6.2,SCI6,2026-2027
Columbus Middle School,M2026036,SPAN6.3,SPAN6,2026-2027
Columbus Middle School,M2026036,SS6.1,SS6,2026-2027
Columbus Middle School,M2026037,ADV_MS.15,ADV_MS,2026-2027
Columbus Middle School,M2026037,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026037,MATH6.8,MATH6,2026-2027
Columbus Middle School,M2026037,PE6.10,PE6,2026-2027
Columbus Middle School,M2026037,SCI6.3,SCI6,2026-2027
Columbus Middle School,M2026037,SPAN6.9,SPAN6,2026-2027
Columbus Middle School,M2026037,SS6.8,SS6,2026-2027
Columbus Middle School,M2026038,ADV_MS.28,ADV_MS,2026-2027
Columbus Middle School,M2026038,ENG6.3,ENG6,2026-2027
Columbus Middle School,M2026038,MATH6.1,MATH6,2026-2027
Columbus Middle School,M2026038,PE6.7,PE6,2026-2027
Columbus Middle School,M2026038,SCI6.8,SCI6,2026-2027
Columbus Middle School,M2026038,SPAN6.8,SPAN6,2026-2027
Columbus Middle School,M2026038,SS6.6,SS6,2026-2027
Columbus Middle School,M2026039,ADV_MS.24,ADV_MS,2026-2027
Columbus Middle School,M2026039,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026039,MATH6.9,MATH6,2026-2027
Columbus Middle School,M2026039,PE6.3,PE6,2026-2027
Columbus Middle School,M2026039,SCI6.6,SCI6,2026-2027
Columbus Middle School,M2026039,SPAN6.9,SPAN6,2026-2027
Columbus Middle School,M2026039,SS6.6,SS6,2026-2027
Columbus Middle School,M2026040,ADV_MS.26,ADV_MS,2026-2027
Columbus Middle School,M2026040,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026040,MATH6.6,MATH6,2026-2027
Columbus Middle School,M2026040,PE6.3,PE6,2026-2027
Columbus Middle School,M2026040,SCI6.10,SCI6,2026-2027
Columbus Middle School,M2026040,SPAN6.7,SPAN6,2026-2027
Columbus Middle School,M2026040,SS6.5,SS6,2026-2027
Columbus Middle School,M2026041,ADV_MS.20,ADV_MS,2026-2027
Columbus Middle School,M2026041,ENG6.2,ENG6,2026-2027
Columbus Middle School,M2026041,MATH6.4,MATH6,2026-2027
Columbus Middle School,M2026041,PE6.9,PE6,2026-2027
Columbus Middle School,M2026041,SCI6.5,SCI6,2026-2027
Columbus Middle School,M2026041,SPAN6.6,SPAN6,2026-2027
Columbus Middle School,M2026041,SS6.6,SS6,2026-2027
Columbus Middle School,M2026042,ADV_MS.23,ADV_MS,2026-2027
Columbus Middle School,M2026042,ENG6.2,ENG6,2026-2027
Columbus Middle School,M2026042,MATH6.3,MATH6,2026-2027
Columbus Middle School,M2026042,PE6.10,PE6,2026-2027
Columbus Middle School,M2026042,SCI6.1,SCI6,2026-2027
Columbus Middle School,M2026042,SPAN6.5,SPAN6,2026-2027
Columbus Middle School,M2026042,SS6.2,SS6,2026-2027
Columbus Middle School,M2026043,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026043,ENG6.9,ENG6,2026-2027
Columbus Middle School,M2026043,MATH6.4,MATH6,2026-2027
Columbus Middle School,M2026043,PE6.9,PE6,2026-2027
Columbus Middle School,M2026043,SCI6.2,SCI6,2026-2027
Columbus Middle School,M2026043,SPAN6.7,SPAN6,2026-2027
Columbus Middle School,M2026043,SS6.3,SS6,2026-2027
Columbus Middle School,M2026044,ADV_MS.28,ADV_MS,2026-2027
Columbus Middle School,M2026044,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026044,MATH6.3,MATH6,2026-2027
Columbus Middle School,M2026044,PE6.10,PE6,2026-2027
Columbus Middle School,M2026044,SCI6.1,SCI6,2026-2027
Columbus Middle School,M2026044,SPAN6.8,SPAN6,2026-2027
Columbus Middle School,M2026044,SS6.8,SS6,2026-2027
Columbus Middle School,M2026045,ADV_MS.14,ADV_MS,2026-2027
Columbus Middle School,M2026045,ENG6.5,ENG6,2026-2027
Columbus Middle School,M2026045,MATH6.5,MATH6,2026-2027
Columbus Middle School,M2026045,PE6.4,PE6,2026-2027
Columbus Middle School,M2026045,SCI6.1,SCI6,2026-2027
Columbus Middle School,M2026045,SPAN6.8,SPAN6,2026-2027
Columbus Middle School,M2026045,SS6.1,SS6,2026-2027
Columbus Middle School,M2026046,ADV_MS.28,ADV_MS,2026-2027
Columbus Middle School,M2026046,ENG6.5,ENG6,2026-2027
Columbus Middle School,M2026046,MATH6.4,MATH6,2026-2027
Columbus Middle School,M2026046,PE6.5,PE6,2026-2027
Columbus Middle School,M2026046,SCI6.10,SCI6,2026-2027
Columbus Middle School,M2026046,SPAN6.5,SPAN6,2026-2027
Columbus Middle School,M2026046,SS6.7,SS6,2026-2027
Columbus Middle School,M2026047,ADV_MS.25,ADV_MS,2026-2027
Columbus Middle School,M2026047,ENG6.1,ENG6,2026-2027
Columbus Middle School,M2026047,MATH6.7,MATH6,2026-2027
Columbus Middle School,M2026047,PE6.7,PE6,2026-2027
Columbus Middle School,M2026047,SCI6.10,SCI6,2026-2027
Columbus Middle School,M2026047,SPAN6.4,SPAN6,2026-2027
Columbus Middle School,M2026047,SS6.4,SS6,2026-2027
Columbus Middle School,M2026048,ADV_MS.12,ADV_MS,2026-2027
Columbus Middle School,M2026048,ENG6.3,ENG6,2026-2027
Columbus Middle School,M2026048,MATH6.4,MATH6,2026-2027
Columbus Middle School,M2026048,PE6.9,PE6,2026-2027
Columbus Middle School,M2026048,SCI6.5,SCI6,2026-2027
Columbus Middle School,M2026048,SPAN6.9,SPAN6,2026-2027
Columbus Middle School,M2026048,SS6.6,SS6,2026-2027
Columbus Middle School,M2026049,ADV_MS.28,ADV_MS,2026-2027
Columbus Middle School,M2026049,ENG6.7,ENG6,2026-2027
Columbus Middle School,M2026049,MATH6.10,MATH6,2026-2027
Columbus Middle School,M2026049,PE6.7,PE6,2026-2027
Columbus Middle School,M2026049,SCI6.4,SCI6,2026-2027
Columbus Middle School,M2026049,SPAN6.4,SPAN6,2026-2027
Columbus Middle School,M2026049,SS6.4,SS6,2026-2027
Columbus Middle School,M2026050,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026050,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026050,MATH6.4,MATH6,2026-2027
Columbus Middle School,M2026050,PE6.8,PE6,2026-2027
Columbus Middle School,M2026050,SCI6.6,SCI6,2026-2027
Columbus Middle School,M2026050,SPAN6.6,SPAN6,2026-2027
Columbus Middle School,M2026050,SS6.7,SS6,2026-2027
Columbus Middle School,M2026051,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026051,ENG6.5,ENG6,2026-2027
Columbus Middle School,M2026051,MATH6.5,MATH6,2026-2027
Columbus Middle School,M2026051,PE6.4,PE6,2026-2027
Columbus Middle School,M2026051,SCI6.7,SCI6,2026-2027
Columbus Middle School,M2026051,SPAN6.9,SPAN6,2026-2027
Columbus Middle School,M2026051,SS6.2,SS6,2026-2027
Columbus Middle School,M2026052,ADV_MS.26,ADV_MS,2026-2027
Columbus Middle School,M2026052,ENG6.9,ENG6,2026-2027
Columbus Middle School,M2026052,MATH6.9,MATH6,2026-2027
Columbus Middle School,M2026052,PE6.8,PE6,2026-2027
Columbus Middle School,M2026052,SCI6.7,SCI6,2026-2027
Columbus Middle School,M2026052,SPAN6.3,SPAN6,2026-2027
Columbus Middle School,M2026052,SS6.9,SS6,2026-2027
Columbus Middle School,M2026053,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026053,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026053,MATH6.3,MATH6,2026-2027
Columbus Middle School,M2026053,PE6.7,PE6,2026-2027
Columbus Middle School,M2026053,SCI6.9,SCI6,2026-2027
Columbus Middle School,M2026053,SPAN6.9,SPAN6,2026-2027
Columbus Middle School,M2026053,SS6.10,SS6,2026-2027
Columbus Middle School,M2026054,ADV_MS.25,ADV_MS,2026-2027
Columbus Middle School,M2026054,ENG6.7,ENG6,2026-2027
Columbus Middle School,M2026054,MATH6.7,MATH6,2026-2027
Columbus Middle School,M2026054,PE6.10,PE6,2026-2027
Columbus Middle School,M2026054,SCI6.2,SCI6,2026-2027
Columbus Middle School,M2026054,SPAN6.2,SPAN6,2026-2027
Columbus Middle School,M2026054,SS6.2,SS6,2026-2027
Columbus Middle School,M2026055,ADV_MS.22,ADV_MS,2026-2027
Columbus Middle School,M2026055,ENG6.7,ENG6,2026-2027
Columbus Middle School,M2026055,MATH6.4,MATH6,2026-2027
Columbus Middle School,M2026055,PE6.4,PE6,2026-2027
Columbus Middle School,M2026055,SCI6.10,SCI6,2026-2027
Columbus Middle School,M2026055,SPAN6.5,SPAN6,2026-2027
Columbus Middle School,M2026055,SS6.5,SS6,2026-2027
Columbus Middle School,M2026056,ADV_MS.25,ADV_MS,2026-2027
Columbus Middle School,M2026056,ENG6.1,ENG6,2026-2027
Columbus Middle School,M2026056,MATH6.3,MATH6,2026-2027
Columbus Middle School,M2026056,PE6.9,PE6,2026-2027
Columbus Middle School,M2026056,SCI6.7,SCI6,2026-2027
Columbus Middle School,M2026056,SPAN6.6,SPAN6,2026-2027
Columbus Middle School,M2026056,SS6.7,SS6,2026-2027
Columbus Middle School,M2026057,ADV_MS.25,ADV_MS,2026-2027
Columbus Middle School,M2026057,ENG6.2,ENG6,2026-2027
Columbus Middle School,M2026057,MATH6.2,MATH6,2026-2027
Columbus Middle School,M2026057,PE6.9,PE6,2026-2027
Columbus Middle School,M2026057,SCI6.6,SCI6,2026-2027
Columbus Middle School,M2026057,SPAN6.5,SPAN6,2026-2027
Columbus Middle School,M2026057,SS6.3,SS6,2026-2027
Columbus Middle School,M2026058,ADV_MS.24,ADV_MS,2026-2027
Columbus Middle School,M2026058,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026058,MATH6.8,MATH6,2026-2027
Columbus Middle School,M2026058,PE6.3,PE6,2026-2027
Columbus Middle School,M2026058,SCI6.4,SCI6,2026-2027
Columbus Middle School,M2026058,SPAN6.3,SPAN6,2026-2027
Columbus Middle School,M2026058,SS6.5,SS6,2026-2027
Columbus Middle School,M2026059,ADV_MS.26,ADV_MS,2026-2027
Columbus Middle School,M2026059,ENG6.9,ENG6,2026-2027
Columbus Middle School,M2026059,MATH6.10,MATH6,2026-2027
Columbus Middle School,M2026059,PE6.7,PE6,2026-2027
Columbus Middle School,M2026059,SCI6.3,SCI6,2026-2027
Columbus Middle School,M2026059,SPAN6.5,SPAN6,2026-2027
Columbus Middle School,M2026059,SS6.9,SS6,2026-2027
Columbus Middle School,M2026060,ADV_MS.23,ADV_MS,2026-2027
Columbus Middle School,M2026060,ENG6.4,ENG6,2026-2027
Columbus Middle School,M2026060,MATH6.9,MATH6,2026-2027
Columbus Middle School,M2026060,PE6.4,PE6,2026-2027
Columbus Middle School,M2026060,SCI6.9,SCI6,2026-2027
Columbus Middle School,M2026060,SPAN6.6,SPAN6,2026-2027
Columbus Middle School,M2026060,SS6.10,SS6,2026-2027
Columbus Middle School,M2026061,ADV_MS.24,ADV_MS,2026-2027
Columbus Middle School,M2026061,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026061,MATH6.10,MATH6,2026-2027
Columbus Middle School,M2026061,PE6.2,PE6,2026-2027
Columbus Middle School,M2026061,SCI6.2,SCI6,2026-2027
Columbus Middle School,M2026061,SPAN6.9,SPAN6,2026-2027
Columbus Middle School,M2026061,SS6.4,SS6,2026-2027
Columbus Middle School,M2026062,ADV_MS.24,ADV_MS,2026-2027
Columbus Middle School,M2026062,ENG6.3,ENG6,2026-2027
Columbus Middle School,M2026062,MATH6.7,MATH6,2026-2027
Columbus Middle School,M2026062,PE6.4,PE6,2026-2027
Columbus Middle School,M2026062,SCI6.5,SCI6,2026-2027
