sourcedId,status,dateLastModified,title,grades,courseSourcedId,classCode,classType,location,schoolSourcedId,termSourcedIds,subjects,subjectCodes,periods
class-MATH6.1,active,2026-04-26T07:42:10.000Z,Math 6,6,course-MATH6,MATH6.1,scheduled,Room 46,school-columbus-middle-school,term-2026-2027,math,math,"P03 | C-1,A-3,D-4"
class-MATH6.2,active,2026-04-26T07:42:10.000Z,Math 6,6,course-MATH6,MATH6.2,scheduled,Room 38,school-columbus-middle-school,term-2026-2027,math,math,"P07 | B-2,E-4,C-5"
class-MATH6.3,active,2026-04-26T07:42:10.000Z,Math 6,6,course-MATH6,MATH6.3,scheduled,Room 51,school-columbus-middle-school,term-2026-2027,math,math,"P04 | C-2,A-4,D-5"
class-MATH6.4,active,2026-04-26T07:42:10.000Z,Math 6,6,course-MATH6,MATH6.4,scheduled,Room 34,school-columbus-middle-school,term-2026-2027,math,math,"P01 | A-1,D-2,B-4"
class-MATH6.5,active,2026-04-26T07:42:10.000Z,Math 6,6,course-MATH6,MATH6.5,scheduled,Room 44,school-columbus-middle-school,term-2026-2027,math,math,"P06 | B-1,E-2,C-4"
class-MATH6.6,active,2026-04-26T07:42:10.000Z,Math 6,6,course-MATH6,MATH6.6,scheduled,Room 37,school-columbus-middle-school,term-2026-2027,math,math,"P04 | C-2,A-4,D-5"
class-MATH6.7,active,2026-04-26T07:42:10.000Z,Math 6,6,course-MATH6,MATH6.7,scheduled,Room 36,school-columbus-middle-school,term-2026-2027,math,math,"P03 | C-1,A-3,D-4"
class-MATH6.8,active,2026-04-26T07:42:10.000Z,Math 6,6,course-MATH6,MATH6.8,scheduled,Room 44,school-columbus-middle-school,term-2026-2027,math,math,"P02 | A-2,D-3,B-5"
class-MATH6.9,active,2026-04-26T07:42:10.000Z,Math 6,6,course-MATH6,MATH6.9,scheduled,Room 26,school-columbus-middle-school,term-2026-2027,math,math,"P05 | E-1,C-3,A-5"
class-MATH6.10,active,2026-04-26T07:42:10.000Z,Math 6,6,course-MATH6,MATH6.10,scheduled,Room 59,school-columbus-middle-school,term-2026-2027,math,math,"P03 | C-1,A-3,D-4"
class-SCI6.1,active,2026-04-26T07:42:10.000Z,Science 6,6,course-SCI6,SCI6.1,scheduled,Lab 71,school-columbus-middle-school,term-2026-2027,science,science,"P07 | B-2,E-4,C-5"
class-SCI6.2,active,2026-04-26T07:42:10.000Z,Science 6,6,course-SCI6,SCI6.2,scheduled,Lab 72,school-columbus-middle-school,term-2026-2027,science,science,"P06 | B-1,E-2,C-4"
class-SCI6.3,active,2026-04-26T07:42:10.000Z,Science 6,6,course-SCI6,SCI6.3,scheduled,Lab 74,school-columbus-middle-school,term-2026-2027,science,science,"P04 | C-2,A-4,D-5"
class-SCI6.4,active,2026-04-26T07:42:10.000Z,Science 6,6,course-SCI6,SCI6.4,scheduled,Lab 73,school-columbus-middle-school,term-2026-2027,science,science,"P04 | C-2,A-4,D-5"
class-SCI6.5,active,2026-04-26T07:42:10.000Z,Science 6,6,course-SCI6,SCI6.5,scheduled,Lab 73,school-columbus-middle-school,term-2026-2027,science,science,"P02 | A-2,D-3,B-5"
class-SCI6.6,active,2026-04-26T07:42:10.000Z,Science 6,6,course-SCI6,SCI6.6,scheduled,Lab 77,school-columbus-middle-school,term-2026-2027,science,science,"P03 | C-1,A-3,D-4"
class-SCI6.7,active,2026-04-26T07:42:10.000Z,Science 6,6,course-SCI6,SCI6.7,scheduled,Lab 79,school-columbus-middle-school,term-2026-2027,science,science,"P01 | A-1,D-2,B-4"
class-SCI6.8,active,2026-04-26T07:42:10.000Z,Science 6,6,course-SCI6,SCI6.8,scheduled,Lab 73,school-columbus-middle-school,term-2026-2027,science,science,"P07 | B-2,E-4,C-5"
class-SCI6.9,active,2026-04-26T07:42:10.000Z,Science 6,6,course-SCI6,SCI6.9,scheduled,Lab 74,school-columbus-middle-school,term-2026-2027,science,science,"P08 | D-1,B-3,E-5"
class-SCI6.10,active,2026-04-26T07:42:10.000Z,Science 6,6,course-SCI6,SCI6.10,scheduled,Lab 72,school-columbus-middle-school,term-2026-2027,science,science,"P07 | B-2,E-4,C-5"
class-SS6.1,active,2026-04-26T07:42:10.000Z,Social Studies 6,6,course-SS6,SS6.1,scheduled,Room 24,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P05 | E-1,C-3,A-5"
class-SS6.2,active,2026-04-26T07:42:10.000Z,Social Studies 6,6,course-SS6,SS6.2,scheduled,Room 17,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P05 | E-1,C-3,A-5"
class-SS6.3,active,2026-04-26T07:42:10.000Z,Social Studies 6,6,course-SS6,SS6.3,scheduled,Room 15,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P05 | E-1,C-3,A-5"
class-SS6.4,active,2026-04-26T07:42:10.000Z,Social Studies 6,6,course-SS6,SS6.4,scheduled,Room 13,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P01 | A-1,D-2,B-4"
class-SS6.5,active,2026-04-26T07:42:10.000Z,Social Studies 6,6,course-SS6,SS6.5,scheduled,Room 22,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P05 | E-1,C-3,A-5"
class-SS6.6,active,2026-04-26T07:42:10.000Z,Social Studies 6,6,course-SS6,SS6.6,scheduled,Room 15,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P04 | C-2,A-4,D-5"
class-SS6.7,active,2026-04-26T07:42:10.000Z,Social Studies 6,6,course-SS6,SS6.7,scheduled,Room 9,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P05 | E-1,C-3,A-5"
class-SS6.8,active,2026-04-26T07:42:10.000Z,Social Studies 6,6,course-SS6,SS6.8,scheduled,Room 8,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P05 | E-1,C-3,A-5"
class-SS6.9,active,2026-04-26T07:42:10.000Z,Social Studies 6,6,course-SS6,SS6.9,scheduled,Room 8,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P06 | B-1,E-2,C-4"
class-SS6.10,active,2026-04-26T07:42:10.000Z,Social Studies 6,6,course-SS6,SS6.10,scheduled,Room 63,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P03 | C-1,A-3,D-4"
class-SPAN6.1,active,2026-04-26T07:42:10.000Z,Spanish 6,6,course-SPAN6,SPAN6.1,scheduled,Room 3,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P01 | A-1,D-2,B-4"
class-SPAN6.2,active,2026-04-26T07:42:10.000Z,Spanish 6,6,course-SPAN6,SPAN6.2,scheduled,Room 3,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P07 | B-2,E-4,C-5"
class-SPAN6.3,active,2026-04-26T07:42:10.000Z,Spanish 6,6,course-SPAN6,SPAN6.3,scheduled,Room 69,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P03 | C-1,A-3,D-4"
class-SPAN6.4,active,2026-04-26T07:42:10.000Z,Spanish 6,6,course-SPAN6,SPAN6.4,scheduled,Room 25,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P06 | B-1,E-2,C-4"
class-SPAN6.5,active,2026-04-26T07:42:10.000Z,Spanish 6,6,course-SPAN6,SPAN6.5,scheduled,Room 13,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P02 | A-2,D-3,B-5"
class-SPAN6.6,active,2026-04-26T07:42:10.000Z,Spanish 6,6,course-SPAN6,SPAN6.6,scheduled,Room 59,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P07 | B-2,E-4,C-5"
class-SPAN6.7,active,2026-04-26T07:42:10.000Z,Spanish 6,6,course-SPAN6,SPAN6.7,scheduled,Room 70,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P03 | C-1,A-3,D-4"
class-SPAN6.8,active,2026-04-26T07:42:10.000Z,Spanish 6,6,course-SPAN6,SPAN6.8,scheduled,Room 22,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P02 | A-2,D-3,B-5"
class-SPAN6.9,active,2026-04-26T07:42:10.000Z,Spanish 6,6,course-SPAN6,SPAN6.9,scheduled,Room 4,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P07 | B-2,E-4,C-5"
class-SPAN6.10,active,2026-04-26T07:42:10.000Z,Spanish 6,6,course-SPAN6,SPAN6.10,scheduled,Room 1,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P07 | B-2,E-4,C-5"
class-PE6.1,active,2026-04-26T07:42:10.000Z,PE 6,6,course-PE6,PE6.1,scheduled,Gymnasium 3,school-columbus-middle-school,term-2026-2027,pe,pe,"P06 | B-1,E-2,C-4"
class-PE6.2,active,2026-04-26T07:42:10.000Z,PE 6,6,course-PE6,PE6.2,scheduled,Gymnasium 5,school-columbus-middle-school,term-2026-2027,pe,pe,"P05 | E-1,C-3,A-5"
class-PE6.3,active,2026-04-26T07:42:10.000Z,PE 6,6,course-PE6,PE6.3,scheduled,Gymnasium 5,school-columbus-middle-school,term-2026-2027,pe,pe,"P01 | A-1,D-2,B-4"
class-PE6.4,active,2026-04-26T07:42:10.000Z,PE 6,6,course-PE6,PE6.4,scheduled,Gymnasium,school-columbus-middle-school,term-2026-2027,pe,pe,"P04 | C-2,A-4,D-5"
class-PE6.5,active,2026-04-26T07:42:10.000Z,PE 6,6,course-PE6,PE6.5,scheduled,Gymnasium 5,school-columbus-middle-school,term-2026-2027,pe,pe,"P06 | B-1,E-2,C-4"
class-PE6.6,active,2026-04-26T07:42:10.000Z,PE 6,6,course-PE6,PE6.6,scheduled,Gymnasium 5,school-columbus-middle-school,term-2026-2027,pe,pe,"P02 | A-2,D-3,B-5"
class-PE6.7,active,2026-04-26T07:42:10.000Z,PE 6,6,course-PE6,PE6.7,scheduled,Gymnasium 4,school-columbus-middle-school,term-2026-2027,pe,pe,"P05 | E-1,C-3,A-5"
class-PE6.8,active,2026-04-26T07:42:10.000Z,PE 6,6,course-PE6,PE6.8,scheduled,Gymnasium 4,school-columbus-middle-school,term-2026-2027,pe,pe,"P02 | A-2,D-3,B-5"
class-PE6.9,active,2026-04-26T07:42:10.000Z,PE 6,6,course-PE6,PE6.9,scheduled,Gymnasium 3,school-columbus-middle-school,term-2026-2027,pe,pe,"P08 | D-1,B-3,E-5"
class-PE6.10,active,2026-04-26T07:42:10.000Z,PE 6,6,course-PE6,PE6.10,scheduled,Gymnasium,school-columbus-middle-school,term-2026-2027,pe,pe,"P01 | A-1,D-2,B-4"
class-ENG7.1,active,2026-04-26T07:42:10.000Z,English 7,7,course-ENG7,ENG7.1,scheduled,Room 1,school-columbus-middle-school,term-2026-2027,english,english,"P08 | D-1,B-3,E-5"
class-ENG7.2,active,2026-04-26T07:42:10.000Z,English 7,7,course-ENG7,ENG7.2,scheduled,Room 4,school-columbus-middle-school,term-2026-2027,english,english,"P08 | D-1,B-3,E-5"
class-ENG7.3,active,2026-04-26T07:42:10.000Z,English 7,7,course-ENG7,ENG7.3,scheduled,Room 6,school-columbus-middle-school,term-2026-2027,english,english,"P08 | D-1,B-3,E-5"
class-ENG7.4,active,2026-04-26T07:42:10.000Z,English 7,7,course-ENG7,ENG7.4,scheduled,Room 25,school-columbus-middle-school,term-2026-2027,english,english,"P08 | D-1,B-3,E-5"
class-ENG7.5,active,2026-04-26T07:42:10.000Z,English 7,7,course-ENG7,ENG7.5,scheduled,Room 66,school-columbus-middle-school,term-2026-2027,english,english,"P04 | C-2,A-4,D-5"
class-ENG7.6,active,2026-04-26T07:42:10.000Z,English 7,7,course-ENG7,ENG7.6,scheduled,Room 70,school-columbus-middle-school,term-2026-2027,english,english,"P05 | E-1,C-3,A-5"
class-ENG7.7,active,2026-04-26T07:42:10.000Z,English 7,7,course-ENG7,ENG7.7,scheduled,Room 59,school-columbus-middle-school,term-2026-2027,english,english,"P08 | D-1,B-3,E-5"
class-ENG7.8,active,2026-04-26T07:42:10.000Z,English 7,7,course-ENG7,ENG7.8,scheduled,Room 57,school-columbus-middle-school,term-2026-2027,english,english,"P01 | A-1,D-2,B-4"
class-ENG7.9,active,2026-04-26T07:42:10.000Z,English 7,7,course-ENG7,ENG7.9,scheduled,Room 70,school-columbus-middle-school,term-2026-2027,english,english,"P08 | D-1,B-3,E-5"
class-ENG7.10,active,2026-04-26T07:42:10.000Z,English 7,7,course-ENG7,ENG7.10,scheduled,Room 69,school-columbus-middle-school,term-2026-2027,english,english,"P06 | B-1,E-2,C-4"
class-MATH7.1,active,2026-04-26T07:42:10.000Z,Pre-Algebra,7,course-MATH7,MATH7.1,scheduled,Room 33,school-columbus-middle-school,term-2026-2027,math,math,"P07 | B-2,E-4,C-5"
class-MATH7.2,active,2026-04-26T07:42:10.000Z,Pre-Algebra,7,course-MATH7,MATH7.2,scheduled,Room 9,school-columbus-middle-school,term-2026-2027,math,math,"P01 | A-1,D-2,B-4"
class-MATH7.3,active,2026-04-26T07:42:10.000Z,Pre-Algebra,7,course-MATH7,MATH7.3,scheduled,Room 15,school-columbus-middle-school,term-2026-2027,math,math,"P02 | A-2,D-3,B-5"
class-MATH7.4,active,2026-04-26T07:42:10.000Z,Pre-Algebra,7,course-MATH7,MATH7.4,scheduled,Room 7,school-columbus-middle-school,term-2026-2027,math,math,"P06 | B-1,E-2,C-4"
class-MATH7.5,active,2026-04-26T07:42:10.000Z,Pre-Algebra,7,course-MATH7,MATH7.5,scheduled,Room 60,school-columbus-middle-school,term-2026-2027,math,math,"P03 | C-1,A-3,D-4"
class-MATH7.6,active,2026-04-26T07:42:10.000Z,Pre-Algebra,7,course-MATH7,MATH7.6,scheduled,Room 69,school-columbus-middle-school,term-2026-2027,math,math,"P04 | C-2,A-4,D-5"
class-MATH7.7,active,2026-04-26T07:42:10.000Z,Pre-Algebra,7,course-MATH7,MATH7.7,scheduled,Room 37,school-columbus-middle-school,term-2026-2027,math,math,"P06 | B-1,E-2,C-4"
class-MATH7.8,active,2026-04-26T07:42:10.000Z,Pre-Algebra,7,course-MATH7,MATH7.8,scheduled,Room 35,school-columbus-middle-school,term-2026-2027,math,math,"P03 | C-1,A-3,D-4"
class-MATH7.9,active,2026-04-26T07:42:10.000Z,Pre-Algebra,7,course-MATH7,MATH7.9,scheduled,Room 33,school-columbus-middle-school,term-2026-2027,math,math,"P08 | D-1,B-3,E-5"
class-MATH7.10,active,2026-04-26T07:42:10.000Z,Pre-Algebra,7,course-MATH7,MATH7.10,scheduled,Room 41,school-columbus-middle-school,term-2026-2027,math,math,"P08 | D-1,B-3,E-5"
class-SCI7.1,active,2026-04-26T07:42:10.000Z,Science 7,7,course-SCI7,SCI7.1,scheduled,Lab 73,school-columbus-middle-school,term-2026-2027,science,science,"P05 | E-1,C-3,A-5"
class-SCI7.2,active,2026-04-26T07:42:10.000Z,Science 7,7,course-SCI7,SCI7.2,scheduled,Lab 72,school-columbus-middle-school,term-2026-2027,science,science,"P04 | C-2,A-4,D-5"
class-SCI7.3,active,2026-04-26T07:42:10.000Z,Science 7,7,course-SCI7,SCI7.3,scheduled,Lab 72,school-columbus-middle-school,term-2026-2027,science,science,"P01 | A-1,D-2,B-4"
class-SCI7.4,active,2026-04-26T07:42:10.000Z,Science 7,7,course-SCI7,SCI7.4,scheduled,Lab 71,school-columbus-middle-school,term-2026-2027,science,science,"P03 | C-1,A-3,D-4"
class-SCI7.5,active,2026-04-26T07:42:10.000Z,Science 7,7,course-SCI7,SCI7.5,scheduled,Lab 83,school-columbus-middle-school,term-2026-2027,science,science,"P04 | C-2,A-4,D-5"
class-SCI7.6,active,2026-04-26T07:42:10.000Z,Science 7,7,course-SCI7,SCI7.6,scheduled,Lab 73,school-columbus-middle-school,term-2026-2027,science,science,"P08 | D-1,B-3,E-5"
class-SCI7.7,active,2026-04-26T07:42:10.000Z,Science 7,7,course-SCI7,SCI7.7,scheduled,Lab 72,school-columbus-middle-school,term-2026-2027,science,science,"P02 | A-2,D-3,B-5"
class-SCI7.8,active,2026-04-26T07:42:10.000Z,Science 7,7,course-SCI7,SCI7.8,scheduled,Lab 71,school-columbus-middle-school,term-2026-2027,science,science,"P02 | A-2,D-3,B-5"
class-SCI7.9,active,2026-04-26T07:42:10.000Z,Science 7,7,course-SCI7,SCI7.9,scheduled,Lab 85,school-columbus-middle-school,term-2026-2027,science,science,"P03 | C-1,A-3,D-4"
class-SCI7.10,active,2026-04-26T07:42:10.000Z,Science 7,7,course-SCI7,SCI7.10,scheduled,Lab 71,school-columbus-middle-school,term-2026-2027,science,science,"P01 | A-1,D-2,B-4"
class-SS7.1,active,2026-04-26T07:42:10.000Z,Social Studies 7,7,course-SS7,SS7.1,scheduled,Room 6,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P06 | B-1,E-2,C-4"
class-SS7.2,active,2026-04-26T07:42:10.000Z,Social Studies 7,7,course-SS7,SS7.2,scheduled,Room 69,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P05 | E-1,C-3,A-5"
class-SS7.3,active,2026-04-26T07:42:10.000Z,Social Studies 7,7,course-SS7,SS7.3,scheduled,Room 2,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P01 | A-1,D-2,B-4"
class-SS7.4,active,2026-04-26T07:42:10.000Z,Social Studies 7,7,course-SS7,SS7.4,scheduled,Room 5,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P05 | E-1,C-3,A-5"
class-SS7.5,active,2026-04-26T07:42:10.000Z,Social Studies 7,7,course-SS7,SS7.5,scheduled,Room 21,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P05 | E-1,C-3,A-5"
class-SS7.6,active,2026-04-26T07:42:10.000Z,Social Studies 7,7,course-SS7,SS7.6,scheduled,Room 23,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P06 | B-1,E-2,C-4"
class-SS7.7,active,2026-04-26T07:42:10.000Z,Social Studies 7,7,course-SS7,SS7.7,scheduled,Room 16,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P06 | B-1,E-2,C-4"
class-SS7.8,active,2026-04-26T07:42:10.000Z,Social Studies 7,7,course-SS7,SS7.8,scheduled,Room 69,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P02 | A-2,D-3,B-5"
class-SS7.9,active,2026-04-26T07:42:10.000Z,Social Studies 7,7,course-SS7,SS7.9,scheduled,Room 34,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P05 | E-1,C-3,A-5"
class-SS7.10,active,2026-04-26T07:42:10.000Z,Social Studies 7,7,course-SS7,SS7.10,scheduled,Room 34,school-columbus-middle-school,term-2026-2027,social_studies,social_studies,"P03 | C-1,A-3,D-4"
class-SPAN7.1,active,2026-04-26T07:42:10.000Z,Spanish 7,7,course-SPAN7,SPAN7.1,scheduled,Room 70,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P06 | B-1,E-2,C-4"
class-SPAN7.2,active,2026-04-26T07:42:10.000Z,Spanish 7,7,course-SPAN7,SPAN7.2,scheduled,Room 5,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P08 | D-1,B-3,E-5"
class-SPAN7.3,active,2026-04-26T07:42:10.000Z,Spanish 7,7,course-SPAN7,SPAN7.3,scheduled,Room 9,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P07 | B-2,E-4,C-5"
class-SPAN7.4,active,2026-04-26T07:42:10.000Z,Spanish 7,7,course-SPAN7,SPAN7.4,scheduled,Room 69,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P01 | A-1,D-2,B-4"
class-SPAN7.5,active,2026-04-26T07:42:10.000Z,Spanish 7,7,course-SPAN7,SPAN7.5,scheduled,Room 7,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P07 | B-2,E-4,C-5"
class-SPAN7.6,active,2026-04-26T07:42:10.000Z,Spanish 7,7,course-SPAN7,SPAN7.6,scheduled,Room 43,school-columbus-middle-school,term-2026-2027,world_lang,world_lang,"P04 | C-2,A-4,D-5"
