sourcedId,status,dateLastModified,classSourcedId,schoolSourcedId,userSourcedId,role,primary,beginDate,endDate
enr-t-T617-ADV_MS.18,active,2026-04-26T07:42:10.000Z,class-ADV_MS.18,school-columbus-middle-school,teacher-T617,teacher,true,2026-08-01,2027-05-31
enr-t-T618-ADV_MS.19,active,2026-04-26T07:42:10.000Z,class-ADV_MS.19,school-columbus-middle-school,teacher-T618,teacher,true,2026-08-01,2027-05-31
enr-t-T619-ADV_MS.20,active,2026-04-26T07:42:10.000Z,class-ADV_MS.20,school-columbus-middle-school,teacher-T619,teacher,true,2026-08-01,2027-05-31
enr-t-T620-ADV_MS.21,active,2026-04-26T07:42:10.000Z,class-ADV_MS.21,school-columbus-middle-school,teacher-T620,teacher,true,2026-08-01,2027-05-31
enr-t-T621-ADV_MS.22,active,2026-04-26T07:42:10.000Z,class-ADV_MS.22,school-columbus-middle-school,teacher-T621,teacher,true,2026-08-01,2027-05-31
enr-t-T622-ADV_MS.23,active,2026-04-26T07:42:10.000Z,class-ADV_MS.23,school-columbus-middle-school,teacher-T622,teacher,true,2026-08-01,2027-05-31
enr-t-T623-ADV_MS.24,active,2026-04-26T07:42:10.000Z,class-ADV_MS.24,school-columbus-middle-school,teacher-T623,teacher,true,2026-08-01,2027-05-31
enr-t-T624-ADV_MS.25,active,2026-04-26T07:42:10.000Z,class-ADV_MS.25,school-columbus-middle-school,teacher-T624,teacher,true,2026-08-01,2027-05-31
enr-t-T625-ADV_MS.26,active,2026-04-26T07:42:10.000Z,class-ADV_MS.26,school-columbus-middle-school,teacher-T625,teacher,true,2026-08-01,2027-05-31
enr-t-T626-ADV_MS.27,active,2026-04-26T07:42:10.000Z,class-ADV_MS.27,school-columbus-middle-school,teacher-T626,teacher,true,2026-08-01,2027-05-31
enr-t-T627-ADV_MS.28,active,2026-04-26T07:42:10.000Z,class-ADV_MS.28,school-columbus-middle-school,teacher-T627,teacher,true,2026-08-01,2027-05-31
enr-t-T600-ENG6.1,active,2026-04-26T07:42:10.000Z,class-ENG6.1,school-columbus-middle-school,teacher-T600,teacher,true,2026-08-01,2027-05-31
enr-t-T601-ENG6.2,active,2026-04-26T07:42:10.000Z,class-ENG6.2,school-columbus-middle-school,teacher-T601,teacher,true,2026-08-01,2027-05-31
enr-t-T602-ENG6.3,active,2026-04-26T07:42:10.000Z,class-ENG6.3,school-columbus-middle-school,teacher-T602,teacher,true,2026-08-01,2027-05-31
enr-t-T603-ENG6.4,active,2026-04-26T07:42:10.000Z,class-ENG6.4,school-columbus-middle-school,teacher-T603,teacher,true,2026-08-01,2027-05-31
enr-t-T604-ENG6.5,active,2026-04-26T07:42:10.000Z,class-ENG6.5,school-columbus-middle-school,teacher-T604,teacher,true,2026-08-01,2027-05-31
enr-t-T605-ENG6.6,active,2026-04-26T07:42:10.000Z,class-ENG6.6,school-columbus-middle-school,teacher-T605,teacher,true,2026-08-01,2027-05-31
enr-t-T606-ENG6.7,active,2026-04-26T07:42:10.000Z,class-ENG6.7,school-columbus-middle-school,teacher-T606,teacher,true,2026-08-01,2027-05-31
enr-t-T607-ENG6.8,active,2026-04-26T07:42:10.000Z,class-ENG6.8,school-columbus-middle-school,teacher-T607,teacher,true,2026-08-01,2027-05-31
enr-t-T608-ENG6.9,active,2026-04-26T07:42:10.000Z,class-ENG6.9,school-columbus-middle-school,teacher-T608,teacher,true,2026-08-01,2027-05-31
enr-t-T609-ENG6.10,active,2026-04-26T07:42:10.000Z,class-ENG6.10,school-columbus-middle-school,teacher-T609,teacher,true,2026-08-01,2027-05-31
enr-t-T615-MATH6.1,active,2026-04-26T07:42:10.000Z,class-MATH6.1,school-columbus-middle-school,teacher-T615,teacher,true,2026-08-01,2027-05-31
enr-t-T616-MATH6.2,active,2026-04-26T07:42:10.000Z,class-MATH6.2,school-columbus-middle-school,teacher-T616,teacher,true,2026-08-01,2027-05-31
enr-t-T617-MATH6.3,active,2026-04-26T07:42:10.000Z,class-MATH6.3,school-columbus-middle-school,teacher-T617,teacher,true,2026-08-01,2027-05-31
enr-t-T618-MATH6.4,active,2026-04-26T07:42:10.000Z,class-MATH6.4,school-columbus-middle-school,teacher-T618,teacher,true,2026-08-01,2027-05-31
enr-t-T619-MATH6.5,active,2026-04-26T07:42:10.000Z,class-MATH6.5,school-columbus-middle-school,teacher-T619,teacher,true,2026-08-01,2027-05-31
enr-t-T620-MATH6.6,active,2026-04-26T07:42:10.000Z,class-MATH6.6,school-columbus-middle-school,teacher-T620,teacher,true,2026-08-01,2027-05-31
enr-t-T621-MATH6.7,active,2026-04-26T07:42:10.000Z,class-MATH6.7,school-columbus-middle-school,teacher-T621,teacher,true,2026-08-01,2027-05-31
enr-t-T622-MATH6.8,active,2026-04-26T07:42:10.000Z,class-MATH6.8,school-columbus-middle-school,teacher-T622,teacher,true,2026-08-01,2027-05-31
enr-t-T623-MATH6.9,active,2026-04-26T07:42:10.000Z,class-MATH6.9,school-columbus-middle-school,teacher-T623,teacher,true,2026-08-01,2027-05-31
enr-t-T624-MATH6.10,active,2026-04-26T07:42:10.000Z,class-MATH6.10,school-columbus-middle-school,teacher-T624,teacher,true,2026-08-01,2027-05-31
enr-t-T630-SCI6.1,active,2026-04-26T07:42:10.000Z,class-SCI6.1,school-columbus-middle-school,teacher-T630,teacher,true,2026-08-01,2027-05-31
enr-t-T631-SCI6.2,active,2026-04-26T07:42:10.000Z,class-SCI6.2,school-columbus-middle-school,teacher-T631,teacher,true,2026-08-01,2027-05-31
enr-t-T632-SCI6.3,active,2026-04-26T07:42:10.000Z,class-SCI6.3,school-columbus-middle-school,teacher-T632,teacher,true,2026-08-01,2027-05-31
enr-t-T633-SCI6.4,active,2026-04-26T07:42:10.000Z,class-SCI6.4,school-columbus-middle-school,teacher-T633,teacher,true,2026-08-01,2027-05-31
enr-t-T634-SCI6.5,active,2026-04-26T07:42:10.000Z,class-SCI6.5,school-columbus-middle-school,teacher-T634,teacher,true,2026-08-01,2027-05-31
enr-t-T635-SCI6.6,active,2026-04-26T07:42:10.000Z,class-SCI6.6,school-columbus-middle-school,teacher-T635,teacher,true,2026-08-01,2027-05-31
enr-t-T636-SCI6.7,active,2026-04-26T07:42:10.000Z,class-SCI6.7,school-columbus-middle-school,teacher-T636,teacher,true,2026-08-01,2027-05-31
enr-t-T637-SCI6.8,active,2026-04-26T07:42:10.000Z,class-SCI6.8,school-columbus-middle-school,teacher-T637,teacher,true,2026-08-01,2027-05-31
enr-t-T638-SCI6.9,active,2026-04-26T07:42:10.000Z,class-SCI6.9,school-columbus-middle-school,teacher-T638,teacher,true,2026-08-01,2027-05-31
enr-t-T639-SCI6.10,active,2026-04-26T07:42:10.000Z,class-SCI6.10,school-columbus-middle-school,teacher-T639,teacher,true,2026-08-01,2027-05-31
enr-t-T645-SS6.1,active,2026-04-26T07:42:10.000Z,class-SS6.1,school-columbus-middle-school,teacher-T645,teacher,true,2026-08-01,2027-05-31
enr-t-T646-SS6.2,active,2026-04-26T07:42:10.000Z,class-SS6.2,school-columbus-middle-school,teacher-T646,teacher,true,2026-08-01,2027-05-31
enr-t-T647-SS6.3,active,2026-04-26T07:42:10.000Z,class-SS6.3,school-columbus-middle-school,teacher-T647,teacher,true,2026-08-01,2027-05-31
enr-t-T648-SS6.4,active,2026-04-26T07:42:10.000Z,class-SS6.4,school-columbus-middle-school,teacher-T648,teacher,true,2026-08-01,2027-05-31
enr-t-T649-SS6.5,active,2026-04-26T07:42:10.000Z,class-SS6.5,school-columbus-middle-school,teacher-T649,teacher,true,2026-08-01,2027-05-31
enr-t-T650-SS6.6,active,2026-04-26T07:42:10.000Z,class-SS6.6,school-columbus-middle-school,teacher-T650,teacher,true,2026-08-01,2027-05-31
enr-t-T651-SS6.7,active,2026-04-26T07:42:10.000Z,class-SS6.7,school-columbus-middle-school,teacher-T651,teacher,true,2026-08-01,2027-05-31
enr-t-T652-SS6.8,active,2026-04-26T07:42:10.000Z,class-SS6.8,school-columbus-middle-school,teacher-T652,teacher,true,2026-08-01,2027-05-31
enr-t-T653-SS6.9,active,2026-04-26T07:42:10.000Z,class-SS6.9,school-columbus-middle-school,teacher-T653,teacher,true,2026-08-01,2027-05-31
enr-t-T654-SS6.10,active,2026-04-26T07:42:10.000Z,class-SS6.10,school-columbus-middle-school,teacher-T654,teacher,true,2026-08-01,2027-05-31
enr-t-T660-SPAN6.1,active,2026-04-26T07:42:10.000Z,class-SPAN6.1,school-columbus-middle-school,teacher-T660,teacher,true,2026-08-01,2027-05-31
enr-t-T661-SPAN6.2,active,2026-04-26T07:42:10.000Z,class-SPAN6.2,school-columbus-middle-school,teacher-T661,teacher,true,2026-08-01,2027-05-31
enr-t-T662-SPAN6.3,active,2026-04-26T07:42:10.000Z,class-SPAN6.3,school-columbus-middle-school,teacher-T662,teacher,true,2026-08-01,2027-05-31
enr-t-T663-SPAN6.4,active,2026-04-26T07:42:10.000Z,class-SPAN6.4,school-columbus-middle-school,teacher-T663,teacher,true,2026-08-01,2027-05-31
enr-t-T664-SPAN6.5,active,2026-04-26T07:42:10.000Z,class-SPAN6.5,school-columbus-middle-school,teacher-T664,teacher,true,2026-08-01,2027-05-31
enr-t-T665-SPAN6.6,active,2026-04-26T07:42:10.000Z,class-SPAN6.6,school-columbus-middle-school,teacher-T665,teacher,true,2026-08-01,2027-05-31
enr-t-T666-SPAN6.7,active,2026-04-26T07:42:10.000Z,class-SPAN6.7,school-columbus-middle-school,teacher-T666,teacher,true,2026-08-01,2027-05-31
enr-t-T667-SPAN6.8,active,2026-04-26T07:42:10.000Z,class-SPAN6.8,school-columbus-middle-school,teacher-T667,teacher,true,2026-08-01,2027-05-31
enr-t-T668-SPAN6.9,active,2026-04-26T07:42:10.000Z,class-SPAN6.9,school-columbus-middle-school,teacher-T668,teacher,true,2026-08-01,2027-05-31
enr-t-T669-SPAN6.10,active,2026-04-26T07:42:10.000Z,class-SPAN6.10,school-columbus-middle-school,teacher-T669,teacher,true,2026-08-01,2027-05-31
enr-t-T675-PE6.1,active,2026-04-26T07:42:10.000Z,class-PE6.1,school-columbus-middle-school,teacher-T675,teacher,true,2026-08-01,2027-05-31
enr-t-T676-PE6.2,active,2026-04-26T07:42:10.000Z,class-PE6.2,school-columbus-middle-school,teacher-T676,teacher,true,2026-08-01,2027-05-31
enr-t-T677-PE6.3,active,2026-04-26T07:42:10.000Z,class-PE6.3,school-columbus-middle-school,teacher-T677,teacher,true,2026-08-01,2027-05-31
enr-t-T678-PE6.4,active,2026-04-26T07:42:10.000Z,class-PE6.4,school-columbus-middle-school,teacher-T678,teacher,true,2026-08-01,2027-05-31
enr-t-T679-PE6.5,active,2026-04-26T07:42:10.000Z,class-PE6.5,school-columbus-middle-school,teacher-T679,teacher,true,2026-08-01,2027-05-31
enr-t-T680-PE6.6,active,2026-04-26T07:42:10.000Z,class-PE6.6,school-columbus-middle-school,teacher-T680,teacher,true,2026-08-01,2027-05-31
enr-t-T681-PE6.7,active,2026-04-26T07:42:10.000Z,class-PE6.7,school-columbus-middle-school,teacher-T681,teacher,true,2026-08-01,2027-05-31
enr-t-T682-PE6.8,active,2026-04-26T07:42:10.000Z,class-PE6.8,school-columbus-middle-school,teacher-T682,teacher,true,2026-08-01,2027-05-31
enr-t-T683-PE6.9,active,2026-04-26T07:42:10.000Z,class-PE6.9,school-columbus-middle-school,teacher-T683,teacher,true,2026-08-01,2027-05-31
enr-t-T684-PE6.10,active,2026-04-26T07:42:10.000Z,class-PE6.10,school-columbus-middle-school,teacher-T684,teacher,true,2026-08-01,2027-05-31
enr-t-T610-ENG7.1,active,2026-04-26T07:42:10.000Z,class-ENG7.1,school-columbus-middle-school,teacher-T610,teacher,true,2026-08-01,2027-05-31
enr-t-T611-ENG7.2,active,2026-04-26T07:42:10.000Z,class-ENG7.2,school-columbus-middle-school,teacher-T611,teacher,true,2026-08-01,2027-05-31
enr-t-T612-ENG7.3,active,2026-04-26T07:42:10.000Z,class-ENG7.3,school-columbus-middle-school,teacher-T612,teacher,true,2026-08-01,2027-05-31
enr-t-T613-ENG7.4,active,2026-04-26T07:42:10.000Z,class-ENG7.4,school-columbus-middle-school,teacher-T613,teacher,true,2026-08-01,2027-05-31
enr-t-T614-ENG7.5,active,2026-04-26T07:42:10.000Z,class-ENG7.5,school-columbus-middle-school,teacher-T614,teacher,true,2026-08-01,2027-05-31
enr-t-T600-ENG7.6,active,2026-04-26T07:42:10.000Z,class-ENG7.6,school-columbus-middle-school,teacher-T600,teacher,true,2026-08-01,2027-05-31
enr-t-T601-ENG7.7,active,2026-04-26T07:42:10.000Z,class-ENG7.7,school-columbus-middle-school,teacher-T601,teacher,true,2026-08-01,2027-05-31
enr-t-T602-ENG7.8,active,2026-04-26T07:42:10.000Z,class-ENG7.8,school-columbus-middle-school,teacher-T602,teacher,true,2026-08-01,2027-05-31
enr-t-T603-ENG7.9,active,2026-04-26T07:42:10.000Z,class-ENG7.9,school-columbus-middle-school,teacher-T603,teacher,true,2026-08-01,2027-05-31
enr-t-T604-ENG7.10,active,2026-04-26T07:42:10.000Z,class-ENG7.10,school-columbus-middle-school,teacher-T604,teacher,true,2026-08-01,2027-05-31
enr-t-T625-MATH7.1,active,2026-04-26T07:42:10.000Z,class-MATH7.1,school-columbus-middle-school,teacher-T625,teacher,true,2026-08-01,2027-05-31
enr-t-T626-MATH7.2,active,2026-04-26T07:42:10.000Z,class-MATH7.2,school-columbus-middle-school,teacher-T626,teacher,true,2026-08-01,2027-05-31
enr-t-T627-MATH7.3,active,2026-04-26T07:42:10.000Z,class-MATH7.3,school-columbus-middle-school,teacher-T627,teacher,true,2026-08-01,2027-05-31
enr-t-T628-MATH7.4,active,2026-04-26T07:42:10.000Z,class-MATH7.4,school-columbus-middle-school,teacher-T628,teacher,true,2026-08-01,2027-05-31
enr-t-T629-MATH7.5,active,2026-04-26T07:42:10.000Z,class-MATH7.5,school-columbus-middle-school,teacher-T629,teacher,true,2026-08-01,2027-05-31
enr-t-T615-MATH7.6,active,2026-04-26T07:42:10.000Z,class-MATH7.6,school-columbus-middle-school,teacher-T615,teacher,true,2026-08-01,2027-05-31
enr-t-T616-MATH7.7,active,2026-04-26T07:42:10.000Z,class-MATH7.7,school-columbus-middle-school,teacher-T616,teacher,true,2026-08-01,2027-05-31
enr-t-T617-MATH7.8,active,2026-04-26T07:42:10.000Z,class-MATH7.8,school-columbus-middle-school,teacher-T617,teacher,true,2026-08-01,2027-05-31
enr-t-T618-MATH7.9,active,2026-04-26T07:42:10.000Z,class-MATH7.9,school-columbus-middle-school,teacher-T618,teacher,true,2026-08-01,2027-05-31
enr-t-T619-MATH7.10,active,2026-04-26T07:42:10.000Z,class-MATH7.10,school-columbus-middle-school,teacher-T619,teacher,true,2026-08-01,2027-05-31
enr-t-T640-SCI7.1,active,2026-04-26T07:42:10.000Z,class-SCI7.1,school-columbus-middle-school,teacher-T640,teacher,true,2026-08-01,2027-05-31
enr-t-T641-SCI7.2,active,2026-04-26T07:42:10.000Z,class-SCI7.2,school-columbus-middle-school,teacher-T641,teacher,true,2026-08-01,2027-05-31
enr-t-T642-SCI7.3,active,2026-04-26T07:42:10.000Z,class-SCI7.3,school-columbus-middle-school,teacher-T642,teacher,true,2026-08-01,2027-05-31
enr-t-T643-SCI7.4,active,2026-04-26T07:42:10.000Z,class-SCI7.4,school-columbus-middle-school,teacher-T643,teacher,true,2026-08-01,2027-05-31
enr-t-T644-SCI7.5,active,2026-04-26T07:42:10.000Z,class-SCI7.5,school-columbus-middle-school,teacher-T644,teacher,true,2026-08-01,2027-05-31
enr-t-T630-SCI7.6,active,2026-04-26T07:42:10.000Z,class-SCI7.6,school-columbus-middle-school,teacher-T630,teacher,true,2026-08-01,2027-05-31
enr-t-T631-SCI7.7,active,2026-04-26T07:42:10.000Z,class-SCI7.7,school-columbus-middle-school,teacher-T631,teacher,true,2026-08-01,2027-05-31
enr-t-T632-SCI7.8,active,2026-04-26T07:42:10.000Z,class-SCI7.8,school-columbus-middle-school,teacher-T632,teacher,true,2026-08-01,2027-05-31
enr-t-T633-SCI7.9,active,2026-04-26T07:42:10.000Z,class-SCI7.9,school-columbus-middle-school,teacher-T633,teacher,true,2026-08-01,2027-05-31
enr-t-T634-SCI7.10,active,2026-04-26T07:42:10.000Z,class-SCI7.10,school-columbus-middle-school,teacher-T634,teacher,true,2026-08-01,2027-05-31
enr-t-T655-SS7.1,active,2026-04-26T07:42:10.000Z,class-SS7.1,school-columbus-middle-school,teacher-T655,teacher,true,2026-08-01,2027-05-31
enr-t-T656-SS7.2,active,2026-04-26T07:42:10.000Z,class-SS7.2,school-columbus-middle-school,teacher-T656,teacher,true,2026-08-01,2027-05-31
enr-t-T657-SS7.3,active,2026-04-26T07:42:10.000Z,class-SS7.3,school-columbus-middle-school,teacher-T657,teacher,true,2026-08-01,2027-05-31
enr-t-T658-SS7.4,active,2026-04-26T07:42:10.000Z,class-SS7.4,school-columbus-middle-school,teacher-T658,teacher,true,2026-08-01,2027-05-31
enr-t-T659-SS7.5,active,2026-04-26T07:42:10.000Z,class-SS7.5,school-columbus-middle-school,teacher-T659,teacher,true,2026-08-01,2027-05-31
enr-t-T645-SS7.6,active,2026-04-26T07:42:10.000Z,class-SS7.6,school-columbus-middle-school,teacher-T645,teacher,true,2026-08-01,2027-05-31
enr-t-T646-SS7.7,active,2026-04-26T07:42:10.000Z,class-SS7.7,school-columbus-middle-school,teacher-T646,teacher,true,2026-08-01,2027-05-31
enr-t-T647-SS7.8,active,2026-04-26T07:42:10.000Z,class-SS7.8,school-columbus-middle-school,teacher-T647,teacher,true,2026-08-01,2027-05-31
enr-t-T648-SS7.9,active,2026-04-26T07:42:10.000Z,class-SS7.9,school-columbus-middle-school,teacher-T648,teacher,true,2026-08-01,2027-05-31
enr-t-T649-SS7.10,active,2026-04-26T07:42:10.000Z,class-SS7.10,school-columbus-middle-school,teacher-T649,teacher,true,2026-08-01,2027-05-31
enr-t-T660-SPAN7.1,active,2026-04-26T07:42:10.000Z,class-SPAN7.1,school-columbus-middle-school,teacher-T660,teacher,true,2026-08-01,2027-05-31
enr-t-T661-SPAN7.2,active,2026-04-26T07:42:10.000Z,class-SPAN7.2,school-columbus-middle-school,teacher-T661,teacher,true,2026-08-01,2027-05-31
enr-t-T662-SPAN7.3,active,2026-04-26T07:42:10.000Z,class-SPAN7.3,school-columbus-middle-school,teacher-T662,teacher,true,2026-08-01,2027-05-31
enr-t-T663-SPAN7.4,active,2026-04-26T07:42:10.000Z,class-SPAN7.4,school-columbus-middle-school,teacher-T663,teacher,true,2026-08-01,2027-05-31
enr-t-T664-SPAN7.5,active,2026-04-26T07:42:10.000Z,class-SPAN7.5,school-columbus-middle-school,teacher-T664,teacher,true,2026-08-01,2027-05-31
enr-t-T665-SPAN7.6,active,2026-04-26T07:42:10.000Z,class-SPAN7.6,school-columbus-middle-school,teacher-T665,teacher,true,2026-08-01,2027-05-31
enr-t-T666-SPAN7.7,active,2026-04-26T07:42:10.000Z,class-SPAN7.7,school-columbus-middle-school,teacher-T666,teacher,true,2026-08-01,2027-05-31
enr-t-T667-SPAN7.8,active,2026-04-26T07:42:10.000Z,class-SPAN7.8,school-columbus-middle-school,teacher-T667,teacher,true,2026-08-01,2027-05-31
enr-t-T668-SPAN7.9,active,2026-04-26T07:42:10.000Z,class-SPAN7.9,school-columbus-middle-school,teacher-T668,teacher,true,2026-08-01,2027-05-31
enr-t-T669-SPAN7.10,active,2026-04-26T07:42:10.000Z,class-SPAN7.10,school-columbus-middle-school,teacher-T669,teacher,true,2026-08-01,2027-05-31
enr-t-T675-PE7.1,active,2026-04-26T07:42:10.000Z,class-PE7.1,school-columbus-middle-school,teacher-T675,teacher,true,2026-08-01,2027-05-31
enr-t-T676-PE7.2,active,2026-04-26T07:42:10.000Z,class-PE7.2,school-columbus-middle-school,teacher-T676,teacher,true,2026-08-01,2027-05-31
enr-t-T677-PE7.3,active,2026-04-26T07:42:10.000Z,class-PE7.3,school-columbus-middle-school,teacher-T677,teacher,true,2026-08-01,2027-05-31
enr-t-T678-PE7.4,active,2026-04-26T07:42:10.000Z,class-PE7.4,school-columbus-middle-school,teacher-T678,teacher,true,2026-08-01,2027-05-31
enr-t-T679-PE7.5,active,2026-04-26T07:42:10.000Z,class-PE7.5,school-columbus-middle-school,teacher-T679,teacher,true,2026-08-01,2027-05-31
enr-t-T680-PE7.6,active,2026-04-26T07:42:10.000Z,class-PE7.6,school-columbus-middle-school,teacher-T680,teacher,true,2026-08-01,2027-05-31
enr-t-T681-PE7.7,active,2026-04-26T07:42:10.000Z,class-PE7.7,school-columbus-middle-school,teacher-T681,teacher,true,2026-08-01,2027-05-31
enr-t-T682-PE7.8,active,2026-04-26T07:42:10.000Z,class-PE7.8,school-columbus-middle-school,teacher-T682,teacher,true,2026-08-01,2027-05-31
enr-t-T683-PE7.9,active,2026-04-26T07:42:10.000Z,class-PE7.9,school-columbus-middle-school,teacher-T683,teacher,true,2026-08-01,2027-05-31
enr-t-T684-PE7.10,active,2026-04-26T07:42:10.000Z,class-PE7.10,school-columbus-middle-school,teacher-T684,teacher,true,2026-08-01,2027-05-31
enr-t-T605-ENG8.1,active,2026-04-26T07:42:10.000Z,class-ENG8.1,school-columbus-middle-school,teacher-T605,teacher,true,2026-08-01,2027-05-31
enr-t-T606-ENG8.2,active,2026-04-26T07:42:10.000Z,class-ENG8.2,school-columbus-middle-school,teacher-T606,teacher,true,2026-08-01,2027-05-31
enr-t-T607-ENG8.3,active,2026-04-26T07:42:10.000Z,class-ENG8.3,school-columbus-middle-school,teacher-T607,teacher,true,2026-08-01,2027-05-31
enr-t-T608-ENG8.4,active,2026-04-26T07:42:10.000Z,class-ENG8.4,school-columbus-middle-school,teacher-T608,teacher,true,2026-08-01,2027-05-31
enr-t-T609-ENG8.5,active,2026-04-26T07:42:10.000Z,class-ENG8.5,school-columbus-middle-school,teacher-T609,teacher,true,2026-08-01,2027-05-31
enr-t-T610-ENG8.6,active,2026-04-26T07:42:10.000Z,class-ENG8.6,school-columbus-middle-school,teacher-T610,teacher,true,2026-08-01,2027-05-31
enr-t-T611-ENG8.7,active,2026-04-26T07:42:10.000Z,class-ENG8.7,school-columbus-middle-school,teacher-T611,teacher,true,2026-08-01,2027-05-31
enr-t-T612-ENG8.8,active,2026-04-26T07:42:10.000Z,class-ENG8.8,school-columbus-middle-school,teacher-T612,teacher,true,2026-08-01,2027-05-31
enr-t-T613-ENG8.9,active,2026-04-26T07:42:10.000Z,class-ENG8.9,school-columbus-middle-school,teacher-T613,teacher,true,2026-08-01,2027-05-31
enr-t-T614-ENG8.10,active,2026-04-26T07:42:10.000Z,class-ENG8.10,school-columbus-middle-school,teacher-T614,teacher,true,2026-08-01,2027-05-31
enr-t-T620-MATH8.1,active,2026-04-26T07:42:10.000Z,class-MATH8.1,school-columbus-middle-school,teacher-T620,teacher,true,2026-08-01,2027-05-31
enr-t-T621-MATH8.2,active,2026-04-26T07:42:10.000Z,class-MATH8.2,school-columbus-middle-school,teacher-T621,teacher,true,2026-08-01,2027-05-31
enr-t-T622-MATH8.3,active,2026-04-26T07:42:10.000Z,class-MATH8.3,school-columbus-middle-school,teacher-T622,teacher,true,2026-08-01,2027-05-31
enr-t-T623-MATH8.4,active,2026-04-26T07:42:10.000Z,class-MATH8.4,school-columbus-middle-school,teacher-T623,teacher,true,2026-08-01,2027-05-31
enr-t-T624-MATH8.5,active,2026-04-26T07:42:10.000Z,class-MATH8.5,school-columbus-middle-school,teacher-T624,teacher,true,2026-08-01,2027-05-31
enr-t-T625-MATH8.6,active,2026-04-26T07:42:10.000Z,class-MATH8.6,school-columbus-middle-school,teacher-T625,teacher,true,2026-08-01,2027-05-31
enr-t-T626-MATH8.7,active,2026-04-26T07:42:10.000Z,class-MATH8.7,school-columbus-middle-school,teacher-T626,teacher,true,2026-08-01,2027-05-31
enr-t-T627-MATH8.8,active,2026-04-26T07:42:10.000Z,class-MATH8.8,school-columbus-middle-school,teacher-T627,teacher,true,2026-08-01,2027-05-31
enr-t-T628-MATH8.9,active,2026-04-26T07:42:10.000Z,class-MATH8.9,school-columbus-middle-school,teacher-T628,teacher,true,2026-08-01,2027-05-31
enr-t-T629-MATH8.10,active,2026-04-26T07:42:10.000Z,class-MATH8.10,school-columbus-middle-school,teacher-T629,teacher,true,2026-08-01,2027-05-31
enr-t-T635-SCI8.1,active,2026-04-26T07:42:10.000Z,class-SCI8.1,school-columbus-middle-school,teacher-T635,teacher,true,2026-08-01,2027-05-31
enr-t-T636-SCI8.2,active,2026-04-26T07:42:10.000Z,class-SCI8.2,school-columbus-middle-school,teacher-T636,teacher,true,2026-08-01,2027-05-31
