course_id,name,department,is_required,credits,meetings_per_week,max_size,min_size,required_room_type,qualified_teacher_ids,is_lab,is_advisory,term,prerequisite_course_ids
B1006,Cultural Studies,Social Stu,False,1.0,3,25,5,standard,6766,False,False,year,
C0907,Band Level III,Arts,False,1.0,3,25,5,standard,8456,False,False,year,
ADVHS01,Advisory HS,general,False,1.0,1,25,5,standard,8456|4202|3752|342|2023|9799|8303|9067|10760|8754|6354|5850|502|9811|5306|8470|9793|9803|6766|364|10153|10853|5108|11153|9795|9797|11253|339|8307|11252|9064|4003|1251|953|8106|9816,False,True,year,
I0903,Algebra I 9,Math,False,1.0,3,25,5,standard,11153,False,False,year,
OI1003,Algebra II,Math,False,1.0,3,25,5,standard,4202|9799,False,False,year,
OZ1207,Anatomy and Physiology,Science,False,1.0,3,25,5,standard,8303|9816,False,False,year,
I1215,AP 3-D Art and Design,Arts,False,1.0,3,25,5,standard,3752,False,False,year,
OA1304,AP Biology,Science,False,1.0,3,25,5,standard,2023,False,False,year,
I1204,AP Calculus AB,Math,False,1.0,3,25,5,standard,9064,False,False,year,
I1208,AP Calculus BC,Math,False,1.0,3,25,5,standard,9064,False,False,year,
OA1317,AP Chemistry,Science,False,1.0,3,25,5,standard,9795,False,False,year,
OZ1313,AP Computer Science A,Technology,False,1.0,3,25,5,standard,377,False,False,year,
OJ1306,AP Computer Science Principles,Technology,False,1.0,3,25,5,standard,377,False,False,year,
OC1314,AP Drawing,Arts,False,1.0,3,25,5,standard,1251,False,False,year,
H1206,AP English Language & Composition,English,False,1.0,3,25,5,standard,9067,False,False,year,
H1201B,AP English Literature and Composition,English,False,1.0,3,25,5,standard,5850,False,False,year,
OA1318,AP Environmental Science,Science,False,1.0,3,25,5,standard,8303,False,False,year,
OZ1323,AP Human Geography,Social Stu,False,1.0,3,25,5,standard,4003,False,False,year,
I1212,AP Macroeconomics,Social Stu,False,1.0,3,25,5,standard,10153,False,False,year,
I1213,AP Microeconomics,Social Stu,False,1.0,3,25,5,standard,10153,False,False,year,
OA1319,AP Physics 1,Science,False,1.0,3,25,5,standard,9803,False,False,year,
OA1322,AP Physics 2,Science,False,1.0,3,25,5,standard,9803,False,False,year,
I1211,AP Precalculus,Math,False,1.0,3,25,5,standard,4202,False,False,year,
L1301,AP Psychology,Social Stu,False,1.0,3,25,5,standard,364,False,False,year,
OB1532,AP Research,Technology,False,1.0,3,26,5,standard,3961,False,False,year,
I1214,AP Seminar,English,False,1.0,3,25,5,standard,9067,False,False,year,
G1004,AP Spanish Language and Culture,Spanish,False,1.0,3,25,5,standard,953|8106,False,False,year,
G1202,AP Spanish Literature and Culture,Spanish,False,1.0,3,25,5,standard,342,False,False,year,
OB1520,AP Statistics,Math,False,1.0,3,25,5,standard,11153,False,False,year,
OH1306,Art of Fiction Higher Level,English,False,1.0,3,25,5,standard,5850,False,False,year,
OH1305,Art of Fiction Intermediate Level,English,False,1.0,3,25,5,standard,5850|9797,False,False,year,
C0904,Band Level I,Arts,False,1.0,3,25,5,standard,8456,False,False,year,
C0905,Band Level II,Arts,False,1.0,3,25,5,standard,8456,False,False,year,
A0901,Biology 9,Science,False,1.0,3,25,5,standard,11253|9816,False,False,year,
OI1305,Calculus,Math,False,1.0,3,25,5,standard,10853|9064,False,False,year,
A1006,Chemistry 10,Science,False,1.0,3,25,5,standard,2023|9795,False,False,year,
